#m k6487
#p 2.5E-7
#d 3
1700 2.88 2.23 2.96 2.8 2.45 2.23 2.92 2.60 2.96 2.71
1900 58.05 59.17 61.52 82.89 84.54 85.05 83.72 87.09 87.42 86.88
2098 226.88 228.23 235.88 224.20 277.90 221.43 227.14 215.54 254.23 264.25
2304 2706.5 2925.5 2612.8 2907.4 2927.9 2892.2 2608.1 2788.1 3263.5
#2501 3331 3255 3088 3108 3160 2939 2849 2948 2888 2911 
#2698 6847 6934 5030 5056 4835 4677 4809 4842 4632 4508 5019 4977
