#lab INRiM MICa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
153.800000	2.803000	0.110452	1.749746
154.000000	2.817000	0.415043	2.131602
154.200000	2.852000	0.089402	1.472489
154.400000	2.853000	0.208152	2.046979
154.600000	2.812000	0.094805	1.804842
154.800000	2.805000	0.344264	1.660424
155.000000	2.857000	-0.095850	2.232928
155.200000	2.844000	0.296113	1.593679
155.400000	2.805000	0.028609	1.806660
155.600000	2.809000	0.199087	2.029482
155.800000	2.838000	0.029595	1.473249
156.000000	2.833000	0.193370	2.029930
156.200000	2.802000	-0.070165	1.821098
156.400000	2.814000	0.320835	1.736866
156.600000	2.847000	-0.160255	2.147384
156.800000	2.855000	0.168984	1.971754
157.000000	2.803000	-0.008068	1.921661
157.200000	2.820000	0.290869	1.984957
157.400000	2.853000	-0.165752	2.030847
157.600000	2.849000	0.098062	1.931824
157.800000	2.808000	-0.010447	1.754137
158.000000	2.806000	0.152639	1.882229
158.200000	2.858000	-0.029989	1.937139
158.400000	2.839000	0.189647	1.739933
158.600000	2.804000	0.054357	1.779703
158.800000	2.810000	0.151568	1.837208
159.000000	2.842000	0.054960	1.839646
159.200000	2.827000	0.276332	1.966926
159.400000	2.802000	0.058715	1.799556
159.600000	2.815000	0.126892	1.910802
159.800000	2.850000	0.016690	1.923395
160.000000	2.852000	0.170774	1.787311
160.200000	2.803000	0.114261	1.911117
160.400000	2.823000	0.040607	1.811540
160.600000	2.856000	0.305595	1.788904
160.800000	2.844000	-0.088092	1.881003
161.000000	2.805000	0.221031	1.857764
161.200000	2.807000	-0.039842	1.691946
161.400000	2.859000	0.295101	1.927483
161.600000	2.834000	-0.211323	1.883423
161.800000	2.803000	0.308496	1.840057
162.000000	2.812000	-0.192545	1.823062
162.200000	2.846000	0.534876	1.876377
162.400000	2.822000	-0.037368	1.980003
162.600000	2.802000	0.357369	1.963947
162.800000	2.819000	-0.019554	1.935311
163.000000	2.854000	0.495528	1.989890
163.200000	2.850000	0.077718	2.206314
163.400000	2.804000	0.291395	1.872787
163.600000	2.828000	0.102868	2.375812
163.800000	2.857000	0.527897	2.139068
164.000000	2.839000	0.106037	2.058151
164.200000	2.803000	0.268045	2.257762
164.400000	2.810000	0.096393	1.839190
164.600000	2.858000	0.337057	2.089692
164.800000	2.826000	0.092451	1.985954
165.000000	2.802000	0.159400	1.956242
165.200000	2.816000	0.080455	2.139394
165.400000	2.849000	0.299645	1.871440
165.600000	2.815000	0.024035	2.011822
165.800000	2.803000	0.211509	1.976349
166.000000	2.823000	-0.007990	1.763410
166.200000	2.856000	0.255320	2.102592
166.400000	2.843000	-0.040670	1.804940
166.600000	2.806000	0.205522	1.904649
166.800000	2.835000	-0.003244	1.983206
167.000000	2.858000	0.057278	1.690204
167.200000	2.830000	0.074139	1.945099
167.400000	2.802000	0.003153	1.861563
167.600000	2.815000	0.054482	1.957736
167.800000	2.854000	-0.061292	1.877656
168.000000	2.814000	0.057320	1.902401
168.200000	2.803000	-0.009427	1.965157
168.400000	2.825000	-0.204311	1.781449
168.600000	2.857000	-0.094255	1.943964
168.800000	2.804000	-0.148064	1.759467
169.000000	2.807000	-0.342058	1.789490
169.200000	2.838000	-0.215972	1.946135
169.400000	2.857000	-0.275825	1.669161
169.600000	2.824000	-0.485388	2.067806
169.800000	2.814000	-0.436403	1.867209
170.000000	2.849000	-0.396835	1.898807
170.200000	2.853000	-0.491748	2.218415
170.400000	2.813000	-0.533668	1.690577
170.600000	2.803000	-0.702467	2.212148
170.800000	2.825000	-0.558073	2.016329
171.000000	2.845000	-0.550394	1.690447
171.200000	2.805000	-0.733175	2.338010
171.400000	2.807000	-0.760618	1.865786
171.600000	2.836000	-0.520569	1.840621
171.800000	2.858000	-0.823936	2.389355
172.000000	2.802000	-0.687986	1.750577
172.200000	2.812000	-0.801553	1.955024
172.400000	2.847000	-0.721272	2.204156
172.600000	2.855000	-0.839841	1.820349
172.800000	2.816000	-0.890298	2.034887
173.000000	2.820000	-1.070593	1.966651
173.200000	2.854000	-0.939872	1.823120
173.400000	2.847000	-1.205380	2.213223
173.600000	2.806000	-0.966441	1.894681
173.800000	2.806000	-1.181826	1.829908
174.000000	2.833000	-1.168760	2.075892
174.200000	2.835000	-1.240484	1.772611
174.400000	2.802000	-1.381158	2.032795
174.600000	2.811000	-1.312359	1.894863
174.800000	2.845000	-1.460367	1.807439
175.000000	2.855000	-1.482359	2.121467
175.200000	2.802000	-1.416006	1.765897
175.400000	2.819000	-1.539868	1.993597
175.600000	2.854000	-1.719390	2.155314
175.800000	2.847000	-1.836338	1.824044
176.000000	2.806000	-2.050875	2.024854
176.200000	2.830000	-2.088866	2.045991
176.400000	2.858000	-2.269847	2.043374
176.600000	2.835000	-2.098692	2.152201
176.800000	2.802000	-2.332797	1.856693
177.000000	2.811000	-2.289234	2.189259
177.200000	2.844000	-2.337861	2.079865
177.400000	2.823000	-2.360074	1.788840
177.600000	2.802000	-2.582374	2.215519
177.800000	2.818000	-2.664579	1.892240
178.000000	2.853000	-2.641140	1.991848
178.200000	2.848000	-2.963751	2.027118
178.400000	2.804000	-2.876889	1.931295
178.600000	2.827000	-3.137000	2.152061
178.800000	2.858000	-3.135399	1.967231
179.000000	2.839000	-3.528487	1.971888
179.200000	2.802000	-3.694176	2.110741
179.400000	2.810000	-3.804547	1.954371
179.600000	2.858000	-3.919833	2.067203
179.800000	2.825000	-3.984655	2.211012
180.000000	2.801000	-4.151206	1.879113
180.200000	2.816000	-4.303499	2.063372
180.400000	2.851000	-4.524707	2.092081
180.600000	2.813000	-4.848231	1.980679
180.800000	2.803000	-5.389214	2.300781
181.000000	2.825000	-5.537678	2.273232
181.200000	2.856000	-5.868861	2.022121
181.400000	2.842000	-6.475863	2.098752
181.600000	2.807000	-6.674627	2.141372
181.800000	2.834000	-7.103891	2.021458
182.000000	2.858000	-7.343025	2.277648
182.200000	2.830000	-8.141940	2.131395
182.400000	2.801000	-8.704670	1.973560
182.600000	2.813000	-9.916059	2.232828
182.800000	2.855000	-12.644950	2.372804
183.000000	2.817000	-13.489020	2.226847
183.200000	2.802000	-14.599630	2.123886
183.400000	2.820000	-15.286160	2.477065
183.600000	2.854000	-16.144660	2.205240
183.800000	2.808000	-16.412130	2.192789
184.000000	2.804000	-17.060380	2.428864
184.200000	2.828000	-17.501090	2.277867
184.400000	2.857000	-17.868790	2.298143
184.600000	2.837000	-18.780400	2.326193
184.800000	2.808000	-19.207800	2.394410
185.000000	2.837000	-20.829350	2.419869
185.200000	2.857000	-22.021930	2.222179
185.400000	2.825000	-22.528570	2.423296
185.600000	2.801000	-22.924060	2.169384
185.800000	2.816000	-24.031660	1.984568
186.000000	2.853000	-24.311300	2.246616
186.200000	2.814000	-24.971200	1.971151
186.400000	2.803000	-25.613080	2.125033
186.600000	2.824000	-26.206460	2.132769
186.800000	2.856000	-26.985110	2.113607
187.000000	2.805000	-27.341330	2.284404
187.200000	2.806000	-28.545300	2.075622
187.400000	2.834000	-29.585470	2.336280
187.600000	2.858000	-30.422890	2.338363
187.800000	2.830000	-31.463850	2.124978
188.000000	2.801000	-32.294870	2.441270
188.200000	2.843000	-33.539240	2.379010
188.400000	2.855000	-34.008820	2.104741
188.600000	2.819000	-35.106320	2.416604
188.800000	2.801000	-35.865350	2.298604
189.000000	2.819000	-36.877380	2.143447
189.200000	2.850000	-37.796160	2.741355
189.400000	2.809000	-39.214540	2.149905
189.600000	2.803000	-40.300230	2.235699
189.800000	2.827000	-40.980330	2.422805
190.000000	2.857000	-41.987330	2.173751
190.200000	2.838000	-42.473730	2.219152
190.400000	2.808000	-43.052960	2.159453
190.600000	2.838000	-44.010060	2.392344
190.800000	2.856000	-44.567660	2.142298
191.000000	2.823000	-46.295340	2.219616
191.200000	2.801000	-50.744620	2.323952
191.400000	2.849000	-55.825600	2.126039
191.600000	2.852000	-57.831890	2.085418
191.800000	2.810000	-59.812690	2.301391
192.000000	2.803000	-61.653970	2.103788
192.200000	2.826000	-63.980290	2.306766
192.400000	2.844000	-65.900130	2.350140
192.600000	2.804000	-67.263490	2.289634
192.800000	2.806000	-69.010960	2.342105
193.000000	2.834000	-69.590940	2.304026
193.200000	2.857000	-71.527060	2.269286
193.400000	2.828000	-72.172000	2.359266
193.600000	2.812000	-73.764530	2.208561
193.800000	2.846000	-75.375130	2.417066
194.000000	2.854000	-81.381220	2.544191
194.200000	2.816000	-85.542860	2.170076
194.400000	2.802000	-86.627430	2.280662
