#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
376.200000	-198.201100	0.354501
376.000000	-197.179300	0.449102
375.800000	-195.064300	0.351100
375.600000	-194.584900	0.439910
375.400000	-192.893200	0.388944
375.200000	-191.047800	0.388956
375.000000	-186.894700	0.355006
374.800000	-182.133100	0.327037
374.600000	-175.147600	0.380578
374.400000	-170.305800	0.424753
374.200000	-168.681300	0.366421
374.000000	-167.284300	0.376582
373.800000	-165.643200	0.454275
373.600000	-164.832100	0.399706
373.400000	-163.789100	0.367950
373.200000	-162.769400	0.411786
373.000000	-161.583300	0.392269
372.800000	-158.389500	0.331263
372.600000	-155.278000	0.401526
372.400000	-153.984200	0.415248
372.200000	-153.562300	0.425278
372.000000	-153.130300	0.336980
371.800000	-152.908600	0.400452
371.600000	-151.843100	0.367402
371.400000	-150.866300	0.378927
371.200000	-149.991200	0.334526
371.000000	-147.413100	0.447576
370.800000	-144.320400	0.349822
370.600000	-143.774000	0.378271
370.400000	-142.247500	0.338139
370.200000	-141.700300	0.338543
370.000000	-140.347300	0.331961
369.800000	-138.600700	0.363702
369.600000	-136.384600	0.332788
369.400000	-121.484300	0.395788
369.200000	-104.888000	0.499693
369.000000	-89.815680	0.334753
368.800000	-88.160880	0.318802
368.600000	-87.784850	0.360766
368.400000	-87.236980	0.324269
368.200000	-85.766680	0.283961
368.000000	-85.457440	0.370674
367.800000	-84.299140	0.388766
367.600000	-82.570940	0.352033
367.400000	-81.296870	0.363204
367.200000	-80.906500	0.413873
367.000000	-80.165120	0.325310
366.800000	-79.268950	0.352090
366.600000	-78.542350	0.305647
366.400000	-78.040570	0.322297
366.200000	-76.071750	0.353971
366.000000	-75.656260	0.348952
365.800000	-75.158530	0.292385
365.600000	-74.861120	0.349652
365.400000	-74.314530	0.317709
365.200000	-73.075040	0.284767
365.000000	-69.892540	0.343586
364.800000	-69.306060	0.302755
364.600000	-68.841940	0.295818
364.400000	-68.364010	0.299209
364.200000	-68.095830	0.337436
364.000000	-67.289440	0.255949
363.800000	-66.198420	0.327353
363.600000	-63.390040	0.326398
363.400000	-62.268550	0.351419
363.200000	-61.931150	0.303042
363.000000	-61.273030	0.324901
362.800000	-59.378690	0.365307
362.600000	-58.808900	0.321347
362.400000	-57.930230	0.318452
362.200000	-57.865930	0.286128
362.000000	-57.440940	0.318781
361.800000	-57.029680	0.301906
361.600000	-56.012650	0.278635
361.400000	-55.731630	0.335781
361.200000	-54.743040	0.312199
