#LAB: INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -66
#
#Time	Current
#s	pA	0.000000	-96.863110
1.026340	-97.178430
2.025804	-96.880090
3.026397	-96.012690
4.026117	-96.196310
5.025885	-96.030540
6.026200	-95.982720
7.026489	-95.462640
8.027526	-94.934280
9.027882	-94.949540
10.027894	-95.208540
11.027473	-94.710980
12.027597	-94.591400
13.027908	-94.744790
14.029390	-94.099530
15.029726	-94.162360
16.030168	-94.309680
17.030362	-94.177960
18.030541	-94.233710
19.030690	-93.875140
20.030521	-93.700090
21.030918	-93.737550
22.030872	-93.807090
23.030698	-93.533680
24.031017	-93.408200
25.030930	-93.728620
26.030830	-93.645340
27.032206	-93.573980
28.031700	-93.643110
29.032537	-93.619400
30.033448	-93.457900
31.032692	-93.364650
32.032993	-93.437620
33.032963	-93.121430
34.034326	-93.132180
35.033661	-93.695770
36.033707	-93.454660
37.033806	-93.505260
38.034387	-93.308520
39.033877	-92.964590
40.033668	-92.992320
41.035387	-93.172480
42.034544	-93.344560
43.036324	-92.763750
44.035664	-92.849250
45.035930	-92.976700
46.036369	-92.979550
47.035857	-93.346590
48.035905	-93.070140
49.036380	-92.567770
50.036728	-93.072790
51.037436	-92.946120
52.037253	-93.159130
53.036737	-92.705180
54.038369	-92.791290
55.037859	-92.684480
56.038362	-92.798380
57.038491	-93.116150
58.039383	-92.720340
59.038674	-92.817000
60.039335	-92.740850
61.039440	-92.895060
62.038719	-92.951600
63.039319	-92.916320
64.038776	-92.855520
65.039390	-92.395300
66.038463	-92.677760
67.038460	-92.755580
68.038657	-92.596920
69.039241	-92.403810
70.038494	-92.951800
71.039062	-92.495980
72.040361	-92.413330
73.039566	-92.263770
74.039898	-92.268850
75.040981	-92.363460
76.041329	-92.697040
77.040692	-92.201930
78.040811	-92.446140
79.041490	-92.521940
80.041660	-92.389190
81.041978	-92.725410
82.042867	-92.900710
83.042946	-92.435390
84.043922	-92.255410
85.044367	-92.506540
86.043817	-92.778340
87.044389	-92.590670
88.043776	-92.672950
89.044275	-92.354130
90.043661	-92.290680
91.044381	-92.289070
92.045226	-92.561460
93.044941	-92.504930
94.045933	-92.428940
95.045959	-91.834080
96.046345	-91.889610
97.045825	-92.611720
98.045749	-92.266190
99.047348	-92.413540
100.048216	-92.500860
101.048438	-92.650240
102.049001	-92.009600
103.048927	-91.546310
104.049331	-92.107280
105.048555	-92.243280
106.050227	-92.109130
107.049683	-92.446360
108.050021	-92.431580
109.050138	-91.960740
110.050423	-92.224170
111.050557	-92.564490
112.050560	-92.356730
113.050696	-92.458090
114.051309	-92.473100
115.051307	-92.201300
116.051018	-92.353510
117.050988	-92.337510
118.051453	-92.242460
119.052020	-92.246720
120.052339	-92.596120
121.052050	-92.292140
122.051873	-92.279700
123.051965	-92.201300
124.052478	-92.180660
125.054296	-92.196060
126.055392	-92.315430
127.055192	-92.238200
128.054586	-92.275720
129.055662	-92.241460
130.056932	-92.390180
131.056467	-92.133800
132.056545	-92.073820
133.056756	-92.368920
134.057022	-92.185100
135.058317	-92.148210
136.058424	-92.211630
137.057844	-92.102410
138.058990	-92.411670
139.059998	-92.317040
140.060083	-92.071180
141.060363	-92.157110
142.060164	-92.332630
143.060160	-92.129530
144.059840	-92.118800
145.059529	-92.202500
146.059770	-92.095680
147.061218	-92.212000
148.060869	-92.417710
149.060825	-92.127310
150.060770	-92.087810
151.060693	-92.038340
152.061150	-92.296750
153.061011	-92.117620
154.061384	-92.232960
155.061128	-92.278530
156.062384	-92.044230
157.062822	-92.234350
158.062780	-92.157310
159.063250	-92.193230
160.062712	-92.084960
161.063928	-92.100380
162.063720	-92.117810
163.063819	-92.204340
164.064722	-92.345620
165.064817	-91.928780
166.066395	-91.977360
167.066025	-91.860440
168.066145	-92.175360
169.067405	-92.202720
170.067110	-92.309950
171.067926	-92.178600
172.069265	-91.949200
173.068706	-92.132810
174.070035	-92.142340
175.070573	-92.032080
176.071328	-91.984890
177.071213	-92.055590
178.070787	-91.960750
179.070477	-92.093460
180.070565	-92.065320
181.070739	-91.836930
182.071270	-92.079700
183.072403	-92.378860
184.072451	-92.203730
185.072489	-91.954690
186.073926	-91.929950
187.073808	-91.957320
188.074106	-92.009570
189.074821	-92.270000
190.074837	-92.115580
191.074812	-91.804290
