#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 1.5
#V 225
#
#Time	Temp	Current
# s	K	pA	
207.052207	2.797000	0.326486
208.052922	2.797000	0.514746
209.054655	2.829000	0.491036
210.054805	2.829000	1.668014
211.056478	2.829000	1.810882
212.056386	2.850000	1.676120
213.056040	2.850000	0.589118
214.056262	2.804000	0.699561
215.055777	2.804000	0.805545
216.055662	2.804000	1.797304
217.056362	2.810000	1.526769
218.056352	2.810000	1.388969
219.056493	2.846000	1.448142
220.056450	2.846000	0.916799
221.056304	2.846000	0.952263
222.057339	2.816000	0.571082
223.056664	2.816000	0.806559
224.057614	2.816000	1.793048
225.057003	2.798000	1.588171
226.057459	2.798000	1.066759
227.058383	2.834000	0.296089
228.059262	2.834000	0.704019
229.058869	2.834000	1.317029
230.058712	2.831000	1.983537
231.059260	2.831000	1.293521
232.060114	2.794000	1.041833
233.059915	2.794000	0.643630
234.060642	2.794000	0.708072
235.059992	2.816000	0.912949
236.061024	2.816000	1.350263
237.062648	2.816000	1.530011
238.062911	2.845000	1.908963
239.063384	2.845000	2.105734
240.062906	2.797000	0.347359
241.063558	2.797000	0.167611
242.064512	2.797000	1.472662
243.064568	2.800000	1.837833
244.064503	2.800000	2.148492
245.064410	2.851000	1.200911
246.063871	2.851000	0.447467
247.065452	2.851000	0.746575
248.064731	2.804000	0.700777
249.065351	2.804000	1.793859
250.064965	2.804000	1.599925
251.064855	2.794000	1.965907
252.064727	2.794000	0.568043
253.065209	2.847000	0.540685
254.064883	2.847000	0.146333
255.065578	2.847000	2.115461
256.065660	2.815000	1.890927
257.066175	2.815000	1.711584
258.066011	2.796000	0.254952
259.067491	2.796000	0.758734
260.066963	2.796000	0.743536
261.068017	2.836000	1.879377
262.068389	2.836000	1.124108
263.069346	2.836000	1.424838
264.068686	2.829000	1.421595
265.070387	2.829000	0.983268
266.070323	2.801000	0.332566
267.069735	2.801000	1.337294
268.070008	2.801000	0.690442
269.070141	2.817000	2.028323
270.071148	2.817000	1.853843
271.072526	2.844000	1.128364
272.072472	2.844000	0.268326
273.072506	2.844000	0.295684
274.072300	2.812000	1.842697
275.072398	2.812000	1.533659
276.071947	2.812000	1.700236
277.072192	2.801000	1.538118
278.071700	2.801000	0.912747
279.072157	2.850000	0.715570
280.072355	2.850000	0.705438
281.072647	2.850000	1.248129
282.072665	2.826000	1.591009
283.072969	2.826000	2.278797
284.073026	2.795000	0.830471
285.073512	2.795000	0.431863
286.072773	2.795000	0.259410
287.072663	2.848000	1.244076
288.073509	2.848000	1.718475
289.074682	2.848000	1.816758
290.076013	2.842000	1.586550
291.075902	2.842000	0.637551
292.076138	2.796000	0.767043
293.075958	2.796000	0.835741
294.076186	2.796000	1.861139
295.076056	2.836000	1.857897
296.076251	2.836000	2.165313
297.076097	2.850000	0.413625
298.076078	2.850000	0.663692
299.076567	2.850000	0.245427
300.076606	2.802000	1.430107
301.076241	2.802000	1.562436
302.076513	2.802000	2.150926
303.076304	2.817000	0.950034
304.075717	2.817000	0.946184
305.076227	2.849000	0.250291
306.075693	2.849000	1.703681
307.075878	2.849000	0.572298
308.076559	2.812000	1.984147
309.077502	2.812000	1.366881
310.076663	2.800000	2.261571
311.077363	2.800000	0.482931
312.077205	2.800000	-0.057952
313.076814	2.839000	-0.368437
314.077306	2.839000	2.414570
315.076710	2.839000	1.994683
316.076952	2.826000	2.356410
317.076858	2.826000	1.484822
318.078465	2.794000	0.036896
319.077754	2.794000	0.858640
320.078460	2.794000	1.046697
321.078617	2.821000	2.051628
322.078173	2.821000	1.888699
323.077685	2.841000	1.384714
324.078105	2.841000	0.906465
325.079002	2.841000	0.157884
326.078697	2.796000	0.957532
327.078840	2.796000	1.888497
328.079554	2.796000	2.185376
329.080093	2.804000	1.767718
330.081538	2.804000	-0.035253
331.080704	2.850000	0.468137
332.080662	2.850000	0.693887
333.081274	2.850000	2.096818
334.081500	2.801000	1.568515
335.081563	2.801000	1.447737
336.082159	2.795000	0.812233
337.082170	2.795000	0.731377
338.081655	2.795000	0.717192
339.082116	2.849000	1.192401
340.081650	2.849000	1.838645
341.082107	2.849000	1.974420
342.083560	2.811000	0.947603
343.083436	2.811000	1.023595
344.084154	2.795000	0.330742
345.083865	2.795000	1.522920
346.085006	2.795000	1.165246
