#p 2E-5
#d 3
# hv [V] i1 i2 i3 ... [nA]
1400 3.575 3.638 3.498 4.058 4.246 4.014 4.045 3.512 3.632 3.953 
1504 11.598 11.741 13.531 13.967 11.362 10.360 10.387 9.041 8.676
1606 45.73 43.93 43.23 43.73 36.75 47.79 53.32 51.82 46.15 60.94
1700 887.3 874.6 871.9 409.1 544.9 562.1 664.9 469.3 399.4
1793 1782.0 1724.9 1390.7 1019.2 1111.2 1397.3 930.8 1228.7 1477.0 1480.1
1904 6084 5707 5149 6141 6462 6598 6750 6187 6104 
2000 6716 7795 6501 6668 5831 6001 6113 6175 6324 6155
2100 12291 11813 11606 11235 12355 10250 9145 9103 9536 10031 
