#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
330.000000	-3.955005	0.313331
330.200000	-3.945683	0.332379
330.400000	-4.034555	0.352558
330.600000	-4.048062	0.292708
330.800000	-4.031382	0.323560
331.000000	-4.048568	0.406765
331.200000	-4.181855	0.349141
331.400000	-4.158487	0.328514
331.600000	-4.235462	0.277205
331.800000	-4.319337	0.283506
332.000000	-4.470752	0.321954
332.200000	-4.539660	0.360330
332.400000	-4.684620	0.338809
332.600000	-4.880480	0.337608
332.800000	-4.954617	0.318637
333.000000	-5.030710	0.313663
333.200000	-5.107482	0.348009
333.400000	-5.196261	0.366625
333.600000	-5.267034	0.306934
333.800000	-5.275486	0.295076
334.000000	-5.299958	0.365549
334.200000	-5.297263	0.316869
334.400000	-5.316021	0.324251
334.600000	-5.348265	0.314805
334.800000	-5.416980	0.320785
335.000000	-5.462326	0.376183
335.200000	-5.527201	0.339321
335.400000	-5.556366	0.343263
335.600000	-5.558930	0.286776
335.800000	-5.599737	0.374602
336.000000	-5.649624	0.395836
336.200000	-5.664147	0.328224
336.400000	-5.707477	0.300086
336.600000	-5.791311	0.264094
336.800000	-5.923626	0.361817
337.000000	-5.961333	0.373859
337.200000	-6.016125	0.332874
337.400000	-6.088296	0.391497
337.600000	-7.928980	0.306466
337.800000	-9.795665	0.333566
338.000000	-9.917410	0.271884
338.200000	-9.970955	0.319694
338.400000	-10.015590	0.351031
338.600000	-10.023580	0.352788
338.800000	-10.114660	0.400984
339.000000	-10.360520	0.268615
339.200000	-10.509520	0.306437
339.400000	-10.697230	0.405699
339.600000	-10.761510	0.390300
339.800000	-10.792960	0.363632
340.000000	-10.851810	0.361800
340.200000	-11.117120	0.345954
340.400000	-11.170980	0.321674
340.600000	-11.332540	0.359222
340.800000	-11.403440	0.392837
341.000000	-11.441220	0.404656
341.200000	-12.054940	0.349649
341.400000	-12.116230	0.419058
341.600000	-12.266320	0.420789
341.800000	-12.390950	0.357776
342.000000	-12.367230	0.339122
342.200000	-12.463480	0.269485
342.400000	-12.608540	0.343463
342.600000	-12.676230	0.448737
342.800000	-13.023030	0.382329
343.000000	-13.073940	0.359523
343.200000	-13.185430	0.275673
343.400000	-13.344130	0.296854
343.600000	-13.356320	0.339373
343.800000	-13.427730	0.402508
344.000000	-13.473220	0.346309
344.200000	-13.614030	0.353398
344.400000	-13.823940	0.305996
344.600000	-13.858230	0.314674
344.800000	-13.894970	0.286207
345.000000	-13.958470	0.380763
