#p 4.0E-6
#d 3

#6 -0.090 0.037
#101 -0.090 0.062
#150 -0.060 0.10
198 -0.51 0.10
211 -1.02 0.17
225 -35.3 4.7
247 -216 34
275 -1361 51
#299 -6.45E3 1.47E3
#234 -0.89 uff
