#LAB: INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -62
#
#Time	Current
1.035877	-8.750780
2.036479	-9.196852
3.036675	-8.544064
4.037444	-8.636274
5.037634	-9.269007
6.036669	-8.931158
7.037094	-8.560681
8.037686	-8.995810
9.038455	-8.809152
10.038349	-8.789896
11.038961	-9.091871
12.039008	-8.952034
13.039627	-8.531089
14.039501	-9.202326
15.038929	-9.168278
16.038997	-8.474953
17.039423	-8.790708
18.038832	-9.008167
19.038748	-8.561085
20.039347	-8.925684
21.040317	-9.385947
22.041578	-8.675593
23.042628	-8.684105
24.042336	-9.326154
25.043586	-8.771656
26.042919	-8.747539
27.043538	-9.001080
28.042722	-8.728489
29.043607	-8.528255
30.043394	-9.276101
31.042747	-9.095926
32.043283	-8.612160
33.043575	-9.025603
34.044670	-8.980205
35.045320	-8.725856
36.045446	-9.291706
37.045558	-9.009185
38.045126	-8.452051
39.044696	-8.857187
40.045884	-9.204759
41.047583	-8.726261
42.047403	-8.879678
43.047583	-9.179223
44.047516	-8.663232
45.046806	-8.920212
46.046701	-9.196854
47.047695	-8.600604
48.047713	-8.467453
49.047742	-9.188748
50.048005	-9.007967
51.047663	-8.934806
52.047708	-9.282583
53.047852	-8.800236
54.048489	-8.530281
55.048039	-9.186520
56.049560	-9.156323
57.048822	-8.508391
58.048708	-8.849683
59.049412	-8.985269
60.050251	-8.834487
61.049898	-9.115180
62.049686	-9.108895
63.050704	-8.455898
64.050922	-8.887784
65.050996	-9.150242
66.050674	-8.735177
67.050834	-8.762943
68.052441	-9.107878
69.051704	-8.839753
70.052567	-8.842794
71.052964	-9.292311
72.053090	-8.764158
73.053319	-8.386388
74.054255	-9.181655
75.055044	-8.987702
76.054943	-8.722811
77.055410	-9.056807
78.055071	-8.971488
79.055156	-8.702751
80.054900	-9.283393
81.055674	-9.238397
82.056365	-8.723419
83.056308	-8.842793
84.056267	-9.148820
85.057055	-8.731528
86.057313	-9.077076
87.057748	-9.153281
88.057796	-8.516091
89.058407	-8.663433
90.058615	-9.255425
91.058207	-8.951828
92.059245	-9.016679
93.058852	-9.313586
94.059519	-8.730921
95.059371	-8.544058
96.059282	-9.266979
97.058887	-8.953245
98.059508	-8.552567
99.058701	-9.003709
100.058754	-8.840563
101.060496	-8.727475
102.060259	-8.927911
103.059795	-9.083360
104.059747	-8.685523
105.059813	-9.091469
106.059869	-9.163010
107.060005	-8.590875
108.061388	-8.822726
109.061615	-9.224821
110.060924	-8.804692
111.060775	-8.977565
112.062477	-8.982225
113.062047	-8.696466
114.061968	-8.597766
115.063600	-9.174760
116.063148	-8.994182
117.063547	-8.888795
118.062775	-9.138889
119.063786	-8.780168
120.063843	-8.737407
121.064183	-9.180842
122.064199	-8.977361
123.064450	-8.723621
124.064585	-9.029850
125.065650	-9.081330
126.066349	-8.634045
127.066377	-8.996617
128.065895	-9.221174
129.065982	-8.596956
130.066410	-8.904604
131.066123	-9.188747
132.067393	-8.677416
133.066901	-8.714906
134.067372	-9.137062
135.067559	-8.680050
136.066812	-8.922842
