# 01/02/22
# sound at L = 37.20 mm. this corresponds to d = 2 mm
# so in order to se d = 4, set to L = 35.20 mm
#d 4
#p 6E-7
1902 56.65 59.45 64.27 57.61 58.27 58.46 64.77 71.08 71.40 69.95
2100 171.2 236.0 206.1 277.7 236.4 275.2 218.4 336.1 370.2 
2300 1275 964 1185 1182 864 1130 869 867 1038 1020
#2500 4114 4108 4509 4058 4234 4296 4248 4075 4439 4715
2700 7670 7455 7368 7068 7274 7507 7753 7525 7404 7627
