#LAB: INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -58
#
#Time	Current
#s	pA	0.000000	-0.875327
1.036099	-0.802163
2.036300	-0.990241
3.036338	-1.115087
4.035858	-1.068675
5.037286	-0.782909
6.038058	-1.071107
7.038280	-0.966123
8.037869	-0.874922
9.039534	-0.988011
10.040623	-1.031383
11.039892	-1.039895
12.039639	-0.973014
13.040246	-1.089955
14.039752	-0.978081
15.039927	-1.021655
16.039686	-0.966529
17.040298	-0.974432
18.039915	-0.836819
19.040106	-1.118734
20.040318	-1.105763
21.040429	-1.088131
22.040025	-1.074349
23.039714	-1.028140
24.039855	-1.173658
25.040336	-1.044354
26.040884	-1.022465
27.041358	-0.957206
28.040688	-1.017399
29.042552	-1.067863
30.042314	-1.105763
31.041914	-1.043949
32.042560	-0.939370
33.041895	-0.945856
34.042065	-1.110019
35.043535	-1.117721
36.042922	-1.036449
37.044396	-0.980918
38.044646	-0.957813
39.044736	-1.089346
40.045416	-1.136366
41.044815	-1.114275
42.046461	-0.846547
43.045914	-0.919306
44.046700	-1.179738
45.046797	-1.122585
46.046795	-1.131907
47.046814	-0.942816
48.046821	-1.042327
49.048147	-1.109613
50.049547	-1.139406
51.048970	-1.193519
52.048669	-0.863571
53.050262	-0.894175
54.050257	-0.979297
55.050250	-1.203045
56.050992	-1.221691
57.050979	-0.925183
58.051312	-0.973216
59.051254	-1.081037
60.050841	-1.230811
61.051476	-1.140622
62.051355	-1.046786
63.051022	-0.919306
64.050796	-0.833981
65.051178	-1.172847
66.050699	-1.149134
67.051118	-0.983553
68.051596	-0.997739
69.051973	-1.013547
70.053590	-0.917279
71.054527	-1.310460
72.053991	-1.026923
73.054027	-0.989227
74.054541	-0.999158
75.054323	-1.055298
76.054517	-1.203247
77.054080	-0.892148
78.053971	-0.963488
79.054447	-1.073335
80.054738	-1.106573
81.055115	-1.133731
82.054985	-0.920724
83.056122	-0.893364
84.057389	-1.047393
85.056640	-1.193518
86.057213	-1.062796
87.057441	-1.062391
88.058505	-0.974229
89.058115	-0.948489
90.057891	-1.121368
91.058417	-1.201423
92.058329	-1.092588
93.057868	-1.000374
94.057979	-1.037665
95.059049	-1.253509
96.059140	-1.295056
97.059067	-1.030976
98.059343	-0.954164
99.060303	-0.958218
100.060188	-1.109410
101.060084	-1.111639
102.059834	-1.147309
103.060197	-1.043136
104.060326	-0.971796
105.060348	-1.039286
106.059898	-1.103330
107.059793	-1.111031
108.059736	-0.977066
109.060150	-0.920319
110.059935	-1.020235
111.059965	-1.168184
112.059999	-1.179331
113.060639	-1.005845
114.062259	-0.856275
115.062356	-1.018005
116.061635	-1.015776
117.062539	-0.965514
118.062518	-1.058539
119.062303	-1.029963
120.061775	-1.144674
121.062523	-1.071713
122.061681	-1.043137
123.062462	-0.881001
124.061765	-1.071308
125.062402	-1.115287
126.062680	-1.149336
127.064590	-1.132311
128.064413	-0.984767
129.064147	-1.039286
130.063883	-1.137987
131.064167	-1.501374
132.064467	-0.795473
133.065568	-1.025504
134.065650	-1.249455
135.066282	-0.881203
136.066356	-1.230404
137.066373	-1.044960
138.065986	-0.977066
139.066281	-1.177709
140.066420	-1.178926
141.065942	-1.190072
142.066251	-1.035840
143.067386	-1.033408
144.067676	-1.067457
145.068529	-0.899849
146.068580	-1.162915
147.068593	-1.077185
148.068644	-1.121975
149.069394	-0.954366
150.068839	-1.082049
151.069051	-1.157443
152.068961	-1.041920
153.069337	-1.165752
154.070468	-1.105762
155.070053	-1.031787
156.070416	-1.185006
157.070345	-1.070902
158.069808	-1.119340
159.070023	-1.022666
160.070596	-0.861746
161.069952	-1.145079
162.070527	-1.091979
163.069705	-1.200813
164.070983	-0.915251
165.070693	-0.980511
166.070694	-1.051243
167.070748	-1.122989
168.070673	-1.133932
169.071337	-1.194531
170.070744	-0.846546
171.071321	-0.971796
172.070646	-1.169805
173.070947	-1.159671
174.071272	-1.021855
175.071057	-1.024085
176.072561	-0.986591
177.072413	-0.997535
178.072516	-1.081643
179.073362	-1.091371
180.074407	-0.901470
181.074005	-0.998143
182.074260	-1.069078
183.073831	-1.271140
184.075306	-1.089547
185.076266	-1.093601
186.075845	-1.013140
187.075860	-1.090155
188.076606	-1.183181
189.075789	-0.997535
190.076108	-0.843505
191.076241	-0.947272
192.075805	-1.101302
193.076709	-1.230200
194.076826	-1.140417
195.077207	-0.986996
196.077783	-0.837628
197.079535	-1.007465
198.079249	-1.106166
199.079045	-1.210947
200.078979	-1.036650
201.079231	-0.961257
202.080558	-1.082656
203.080810	-1.213379
204.081134	-1.215405
205.080894	-0.969364
206.080717	-1.017397
207.080674	-1.132108
208.082277	-1.113057
209.082471	-1.046783
210.082556	-0.849991
211.082487	-0.905523
212.081766	-1.236889
213.082330	-1.214594
214.083570	-1.111030
215.084506	-0.851004
216.084656	-1.001588
217.085193	-1.110827
218.086302	-0.983348
219.086394	-1.410779
220.085844	-0.979091
221.085635	-0.867825
222.087456	-1.065226
223.086670	-1.098464
224.086743	-1.109611
225.087377	-0.963486
226.088554	-1.137174
227.088281	-1.038676
228.087864	-1.151767
229.088138	-1.277625
230.087660	-0.813510
231.088014	-0.899036
232.089613	-1.102720
233.088923	-1.266072
234.089788	-1.258168
235.090524	-0.985172
236.090405	-0.915453
237.091280	-1.060768
