#p 6E-7
#d 3
999 987 1178 1194 1171 1073 906 1762 807 849 812 
1101 4275 4343 3961 4212 4446 4373 4256 4279 4445 4552
1297 20670 21000 2070 20060 19670 19480 19400 20430 20020 20210
1504 70160 70150 67880 66810 66510 70920 72030 69370 70320 72470
