#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7
#d 0.5
#V -150
#
#Time	Temp	Current
# s	K	pA	
183.042186	2.780000	-1282.858000
184.041615	2.755000	-1059.588000
185.043043	2.755000	-1063.318000
186.042468	2.808000	-1065.735000
187.042871	2.808000	-1064.208000
188.042323	2.770000	-1286.328000
189.042730	2.770000	-1063.722000
190.044183	2.770000	-1088.379000
191.043621	2.762000	-1306.983000
192.045043	2.762000	-1065.560000
193.044478	2.809000	-1061.510000
194.044902	2.809000	-1289.876000
195.044331	2.809000	-1063.999000
196.044755	2.762000	-1063.366000
197.044258	2.762000	-1278.790000
198.044686	2.775000	-1220.809000
199.046115	2.775000	-1063.440000
200.045546	2.803000	-1303.243000
201.045978	2.803000	-1284.218000
202.045404	2.803000	-1240.475000
203.045834	2.757000	-1160.215000
204.045264	2.757000	-1294.427000
205.045693	2.790000	-1281.101000
206.047123	2.790000	-655.388700
207.046551	2.790000	-651.726200
208.047980	2.793000	-652.858300
209.047410	2.793000	-656.302100
210.047839	2.754000	-649.100100
211.047269	2.754000	-651.601500
212.047852	2.802000	-651.034800
213.047280	2.802000	-648.694800
214.047740	2.802000	-649.079000
215.048170	2.780000	-647.977300
216.047572	2.780000	-644.020700
217.049016	2.755000	-648.851100
218.048458	2.755000	-651.072200
219.048885	2.755000	-644.897300
220.048316	2.808000	-648.424800
221.048738	2.808000	-645.915400
222.049177	2.770000	-644.735000
223.048594	2.770000	-648.381100
224.050023	2.762000	-650.220500
225.049451	2.762000	-646.406300
226.050894	2.762000	-648.956400
227.050293	2.809000	-645.260700
228.050723	2.809000	-648.861400
229.052168	2.763000	-650.404500
230.051611	2.763000	-645.006900
231.053012	2.763000	-645.283200
232.052471	2.774000	-647.942800
233.053867	2.774000	-646.928000
234.053298	2.804000	-650.402600
235.053757	2.804000	-650.407800
236.054187	2.757000	-645.083000
237.053608	2.757000	-650.065200
238.054045	2.757000	-649.655200
239.053448	2.789000	-644.858100
240.054874	2.789000	-648.605500
241.054307	2.794000	-648.191800
242.054757	2.794000	-644.535400
243.056164	2.794000	-650.792800
244.055612	2.755000	-653.292500
245.057024	2.755000	-652.252100
246.056451	2.801000	-654.475600
247.056883	2.801000	-648.920600
248.056311	2.781000	-646.005500
249.056758	2.781000	-653.009800
250.058168	2.781000	-650.352500
251.057629	2.755000	-651.700600
252.059027	2.755000	-652.683300
253.058486	2.807000	-650.817200
254.058915	2.807000	-649.789200
255.058319	2.807000	-653.952600
256.058764	2.770000	-651.893900
257.060176	2.770000	-650.989400
258.059634	2.761000	-649.747500
259.061035	2.761000	-650.584000
260.060484	2.809000	-650.027800
261.061912	2.809000	-653.380500
262.061351	2.809000	-651.119700
263.061768	2.762000	-636.684000
264.062209	2.762000	-651.894900
265.061638	2.773000	-649.504500
266.063067	2.773000	-653.391700
267.062469	2.773000	-652.208700
268.062927	2.804000	-646.325800
269.062330	2.804000	-633.565400
270.062784	2.757000	-650.692900
271.064185	2.757000	-647.720200
272.063614	2.788000	-651.526100
273.064075	2.788000	-641.468500
274.063499	2.788000	-646.615700
275.064902	2.794000	-652.450300
276.064351	2.794000	-649.468200
277.064787	2.755000	-646.970300
278.066222	2.755000	-650.665600
279.066642	2.755000	-645.470200
280.068079	2.801000	-645.307600
281.067479	2.801000	-651.306100
282.068910	2.782000	-644.833300
283.068357	2.782000	-647.439100
284.068789	2.755000	-644.912100
285.068227	2.755000	-645.647600
286.068629	2.755000	-649.271600
287.070055	2.808000	-651.216100
288.069514	2.808000	-646.903400
289.070912	2.770000	-646.735600
290.070374	2.770000	-657.703900
291.070799	2.770000	-648.822800
292.071204	2.761000	-652.853100
293.070661	2.761000	-649.202600
294.072093	2.809000	-646.933300
295.071490	2.809000	-646.780300
296.072950	2.762000	-648.697800
297.072371	2.762000	-651.050400
298.072780	2.762000	-651.321600
299.073207	2.774000	-646.587900
300.072667	2.774000	-648.290500
301.074094	2.804000	-651.687400
302.073495	2.804000	-648.121900
303.073951	2.804000	-650.101700
304.073385	2.757000	-650.365500
305.073784	2.757000	-654.032200
306.073213	2.789000	-654.526700
307.073456	2.789000	-655.507400
308.074860	2.793000	-654.723900
309.074312	2.793000	-654.294800
310.074717	2.793000	-654.986300
311.076174	2.754000	-653.521200
312.075605	2.754000	-656.988400
313.076005	2.801000	-651.958800
314.075434	2.801000	-655.145400
315.075881	2.801000	-654.373900
316.075297	2.781000	-653.740600
317.075752	2.781000	-656.647500
318.077150	2.755000	-657.959400
319.076612	2.755000	-656.217900
320.078029	2.807000	-658.337300
321.077439	2.807000	-639.588600
322.077869	2.807000	-650.929900
323.077329	2.770000	-640.725900
324.077729	2.770000	-639.045100
325.079156	2.760000	-637.106000
326.078586	2.760000	-635.991900
327.080015	2.760000	-637.518000
328.079476	2.809000	-636.931000
329.080873	2.809000	-651.297100
330.080337	2.762000	-650.298800
331.080765	2.762000	-648.793400
332.082192	2.773000	-646.545800
333.081591	2.773000	-648.229100
334.083042	2.773000	-647.975300
335.082482	2.804000	-648.656900
336.083898	2.804000	-648.897500
337.083309	2.757000	-645.894100
338.083738	2.757000	-649.358700
339.085198	2.757000	-645.639800
340.084596	2.789000	-645.940900
341.086055	2.789000	-647.103900
342.085454	2.793000	-644.563300
343.085916	2.793000	-645.521700
344.085314	2.754000	-647.810100
345.085775	2.754000	-647.306000
346.087173	2.754000	-640.538400
347.086633	2.801000	-648.727200
348.088030	2.801000	-645.071300
349.087492	2.780000	-646.861200
350.087922	2.780000	-568.606300
351.087322	2.780000	-566.659700
352.087749	2.754000	-567.638800
353.088182	2.754000	-566.088200
354.087628	2.808000	-566.073100
355.089067	2.808000	-569.085100
356.088467	2.769000	-567.008300
357.089927	2.769000	-564.489400
358.089326	2.769000	-567.488900
359.089756	2.762000	-565.748400
360.089217	2.762000	-565.285800
361.089644	2.809000	-568.256200
362.091063	2.809000	-565.890700
363.090472	2.809000	-563.220300
364.091901	2.761000	-567.301400
365.091369	2.761000	-561.295800
366.091791	2.775000	-568.441800
367.093189	2.775000	-566.624800
368.092643	2.803000	-566.358600
369.093071	2.803000	-566.408400
370.092478	2.803000	-568.273300
371.093906	2.757000	-566.538600
372.093355	2.757000	-566.563700
373.093799	2.791000	-566.374800
374.093228	2.791000	-565.498100
375.093625	2.791000	-565.080000
376.094086	2.792000	-568.579800
377.093515	2.792000	-560.920700
378.094944	2.754000	-559.475600
379.094374	2.754000	-564.115100
380.094802	2.802000	-558.488800
381.094234	2.802000	-566.195000
382.094631	2.802000	-569.491200
383.096061	2.779000	-565.662100
384.095494	2.779000	-565.782900
385.095947	2.755000	-565.554700
386.095381	2.755000	-566.279800
387.095783	2.755000	-569.603900
388.097207	2.808000	-565.555500
389.096667	2.808000	-563.613500
390.097099	2.769000	-566.456200
391.096496	2.769000	-565.847200
392.097925	2.762000	-567.056500
393.097360	2.762000	-568.771700
394.097788	2.762000	-568.618800
395.097214	2.809000	-561.890300
396.097643	2.809000	-566.607400
397.098091	2.761000	-566.700400
398.097534	2.761000	-569.725200
399.098931	2.761000	-576.331500
400.098382	2.776000	-574.962500
401.098794	2.776000	-578.104800
402.098250	2.803000	-577.838300
403.098680	2.803000	-577.565800
404.099111	2.756000	-574.947800
405.098538	2.756000	-568.917200
406.099938	2.756000	-568.505600
407.099400	2.791000	-586.531000
408.099797	2.791000	-584.009700
409.099226	2.791000	-585.105900
410.099662	2.791000	-584.473300
411.101085	2.791000	-583.906400
412.100514	2.754000	-585.059800
413.101947	2.754000	-585.436300
414.101393	2.803000	-583.975800
415.101807	2.803000	-582.850900
416.101251	2.778000	-582.857400
417.101662	2.778000	-582.488400
418.103120	2.778000	-584.410900
419.102521	2.755000	-587.413700
420.103949	2.755000	-581.698300
421.103378	2.808000	-583.888300
422.103839	2.808000	-584.087200
423.103258	2.808000	-584.244800
424.103686	2.768000	-585.676700
