#lab INRiM MiCb 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
30.200000	3.449000	-3.581918	23.756070
30.400000	3.492000	3.088694	19.456150
30.600000	3.486000	-2.956422	18.090620
30.800000	3.471000	2.999690	12.980570
31.000000	3.448000	-2.657250	15.975390
31.200000	3.430000	-2.108598	25.957800
31.400000	3.484000	0.945190	18.600700
31.600000	3.469000	-3.309729	14.946850
31.800000	3.447000	-0.594122	13.094840
32.000000	3.428000	3.306148	13.761100
32.200000	3.450000	-3.746118	13.134870
32.400000	3.430000	3.483495	27.978840
32.600000	3.420000	-2.245634	20.724640
32.800000	3.420000	4.400585	16.878850
33.000000	3.449000	1.004445	17.250400
33.200000	3.429000	-2.056118	18.661440
33.400000	3.418000	2.487120	10.709940
33.600000	3.417000	1.492628	17.280830
33.800000	3.450000	-1.885410	22.900270
34.000000	3.428000	1.542745	13.825400
34.200000	3.417000	4.339853	18.841710
34.400000	3.416000	-1.523226	18.553400
34.600000	3.418000	1.280716	12.349190
34.800000	3.414000	1.518647	11.686390
35.000000	3.417000	1.303060	14.095100
35.200000	3.424000	2.864192	19.436180
35.400000	3.417000	-0.534570	11.836870
35.600000	3.411000	2.459753	15.348380
35.800000	3.414000	-3.145734	16.367850
36.000000	3.421000	4.721304	11.875620
36.200000	3.416000	1.070024	22.993120
36.400000	3.409000	3.542237	26.260180
36.600000	3.411000	-0.836148	21.306060
36.800000	3.418000	0.853303	14.290710
37.000000	3.409000	3.310777	18.767760
37.200000	3.415000	-3.329659	19.047910
37.400000	3.425000	2.226102	11.662710
37.600000	3.440000	-3.226335	14.574850
37.800000	3.408000	2.604742	26.008200
38.000000	3.412000	2.890860	21.521060
38.200000	3.422000	1.476170	36.827080
38.400000	3.437000	-1.323891	16.844130
38.600000	3.405000	-1.216721	12.274870
38.800000	3.410000	-2.941045	29.163040
39.000000	3.420000	-1.997643	23.034840
39.200000	3.435000	2.223299	9.257592
39.400000	3.416000	-4.755175	19.498110
39.600000	3.429000	3.862810	13.063250
39.800000	3.446000	-4.099799	14.302510
40.000000	3.461000	1.689084	13.491460
40.200000	3.412000	-1.200431	29.567140
40.400000	3.425000	0.305580	29.895690
40.600000	3.442000	2.915111	19.441300
40.800000	3.457000	-3.047500	25.911430
41.000000	3.409000	1.823113	16.564530
41.200000	3.421000	3.458429	10.366680
41.400000	3.437000	-2.579112	11.597330
41.600000	3.454000	1.870296	22.156450
41.800000	3.432000	3.657749	5.854211
42.000000	3.449000	-1.944179	13.348770
42.200000	3.461000	4.376990	18.041030
42.400000	3.460000	0.307775	13.129130
42.600000	3.430000	-2.191801	21.673830
42.800000	3.446000	1.109912	16.152410
43.000000	3.458000	-2.115567	21.833070
43.200000	3.458000	-3.688312	17.879390
43.400000	3.426000	2.230066	16.533980
43.600000	3.443000	-5.585225	17.626710
43.800000	3.455000	-1.049183	16.991870
44.000000	3.457000	2.871622	16.968330
44.200000	3.452000	-1.664364	11.773600
44.400000	3.456000	3.904515	7.462721
44.600000	3.449000	-3.229971	11.379190
44.800000	3.433000	2.514843	12.122650
45.000000	3.449000	1.988472	9.138182
45.200000	3.455000	2.315757	8.560767
45.400000	3.448000	-2.675686	9.568271
45.600000	3.434000	0.325280	10.900750
45.800000	3.445000	2.505999	9.448248
46.000000	3.452000	0.372989	13.468820
46.200000	3.448000	-2.242922	22.651890
46.400000	3.434000	3.240148	24.399290
46.600000	3.449000	1.861145	16.775400
46.800000	3.437000	-2.120520	8.662706
47.000000	3.418000	3.364185	16.635280
47.200000	3.396000	-3.428645	18.385040
47.400000	3.447000	1.776921	13.675320
47.600000	3.436000	-0.195259	10.691350
47.800000	3.416000	-3.241831	8.443289
48.000000	3.394000	4.306268	8.018883
48.200000	3.445000	-2.287757	10.143150
48.400000	3.434000	-2.809258	11.631200
48.600000	3.414000	3.326757	8.020639
48.800000	3.392000	4.502703	12.545370
49.000000	3.379000	3.463379	9.729777
49.200000	3.394000	1.588938	9.863870
49.400000	3.380000	-0.844708	11.051800
49.600000	3.378000	4.898432	9.108248
49.800000	3.381000	5.782117	8.223693
50.000000	3.394000	0.981273	9.104472
50.200000	3.379000	7.430629	8.766475
50.400000	3.376000	8.164072	8.127173
50.600000	3.380000	2.660396	8.295496
50.800000	3.392000	3.619192	10.554030
51.000000	3.377000	10.900650	7.934653
51.200000	3.374000	5.026551	11.552450
51.400000	3.378000	10.391480	10.081160
51.600000	3.373000	5.513398	11.133770
51.800000	3.376000	8.446914	8.175531
52.000000	3.384000	10.360160	12.458970
52.200000	3.397000	10.223190	14.317350
52.400000	3.371000	16.038230	14.074870
52.600000	3.374000	11.151290	9.857518
52.800000	3.381000	21.568310	6.675013
53.000000	3.395000	15.576870	9.616931
53.200000	3.369000	21.108510	7.783320
53.400000	3.372000	24.899600	9.062934
53.600000	3.380000	21.733910	6.495874
53.800000	3.394000	30.264160	8.712816
54.000000	3.377000	28.756590	8.674644
54.200000	3.389000	35.467320	8.121271
54.400000	3.406000	39.623010	11.950570
54.600000	3.422000	50.703670	7.996660
54.800000	3.375000	50.163690	6.061175
55.000000	3.387000	67.677080	7.276796
55.200000	3.403000	70.061980	12.505540
55.400000	3.420000	88.467140	9.719122
55.600000	3.373000	102.919700	12.822250
55.800000	3.385000	121.541300	9.955706
56.000000	3.402000	140.518300	6.475211
