#p 4.0E-6
#d 4

#6 -0.14 0.020
#102 -0.12 0.14
#199 -0.18 0.12
#299 0.08 0.43
#327 0.10 0.14
#350 0.71 0.11
375 3.22 0.16
399 10.50 0.71
427 51.9 3.7
451 108.4 3.5
474 291 33
#501 1728 539
