#lab INRiM MiCb 30mK
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#V 100
#
#Time	Temp	Current
# s	K	pA	
0.000000	183.135400	34116.130000
1.414434	183.135400	33097.800000
2.414687	182.744100	21662.390000
3.414378	182.744100	38559.100000
4.413913	182.724000	4953492.000000
5.414544	182.724000	5897117.000000
6.413992	182.724000	6776365.000000
7.415701	182.453100	6907544.000000
8.414848	182.453100	4678352.000000
9.415354	182.453100	4408528.000000
10.414850	181.383300	4729070.000000
11.415278	181.383300	4919304.000000
12.416773	181.495000	5652621.000000
13.416819	181.495000	5094308.000000
14.416912	181.495000	5333834.000000
15.417656	182.163400	6473630.000000
16.417624	182.163400	11335500.000000
17.417120	181.931400	10017260.000000
18.417456	181.931400	10155180.000000
19.417634	181.931400	10246580.000000
20.418607	181.414100	8191717.000000
21.417764	181.414100	7754940.000000
22.418159	181.414100	10039030.000000
23.418211	180.972000	11200190.000000
