#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 0.5
#V 114
#
#Time	Temp	Current
# s	K	pA	
400.047307	2.755000	0.975778
402.047652	2.800000	1.015903
404.047914	2.783000	0.794812
406.047662	2.754000	1.236588
408.047978	2.754000	0.804539
410.047938	2.807000	1.192613
412.047746	2.772000	0.817509
414.048948	2.759000	1.023198
416.048926	2.810000	1.001109
418.048819	2.764000	0.935653
420.049984	2.764000	0.992193
422.049711	2.770000	1.168700
424.049514	2.806000	0.859660
426.049843	2.758000	1.285022
428.051042	2.785000	0.992192
430.050806	2.797000	0.923292
432.050155	2.797000	0.935248
434.050780	2.755000	1.160595
436.051563	2.799000	1.002528
438.051262	2.785000	0.907080
440.052089	2.755000	0.693487
442.051332	2.807000	1.060283
444.051583	2.807000	0.990775
446.051501	2.774000	1.121889
448.052005	2.758000	0.961998
450.052906	2.810000	0.954095
452.052302	2.765000	1.024212
454.052171	2.769000	0.865334
456.052564	2.769000	1.072037
458.053702	2.807000	1.075279
460.054984	2.759000	0.935451
462.055586	2.784000	1.010026
464.055603	2.798000	0.980034
466.056127	2.755000	1.171538
468.055902	2.755000	1.108919
470.056614	2.797000	0.933222
472.056944	2.786000	1.059270
474.056424	2.754000	0.961998
476.056802	2.806000	1.002326
478.056953	2.775000	1.039613
480.058058	2.775000	1.049745
482.058652	2.757000	0.962809
484.058419	2.810000	1.117633
486.058797	2.766000	0.963214
488.058255	2.767000	1.153907
490.058647	2.808000	0.840611
492.058256	2.808000	1.052177
494.060022	2.760000	0.887625
496.059715	2.781000	0.981655
498.059467	2.800000	1.135669
500.059347	2.756000	0.970915
502.059508	2.795000	0.965241
504.059399	2.795000	1.094936
506.060016	2.788000	0.805350
508.059587	2.754000	1.095949
510.059504	2.804000	0.927345
512.060537	2.776000	0.996043
514.061793	2.756000	1.116823
516.062588	2.756000	0.862092
518.062572	2.809000	1.034547
520.062977	2.767000	0.982668
522.062368	2.765000	1.030696
524.062882	2.808000	1.123510
526.062717	2.760000	0.904040
528.062311	2.760000	0.930385
530.062458	2.778000	1.054204
532.063545	2.802000	0.938896
534.063568	2.756000	1.135872
536.064007	2.792000	0.808592
538.064775	2.791000	1.181265
540.064232	2.791000	1.000299
542.064446	2.754000	1.035560
544.064586	2.803000	1.093315
546.064743	2.779000	0.935451
548.065100	2.755000	0.880938
550.065181	2.809000	0.999489
552.065392	2.809000	0.948623
554.065537	2.769000	1.240034
556.065490	2.762000	0.918023
558.065161	2.809000	1.149652
560.066957	2.761000	0.993409
562.066730	2.775000	0.984492
564.066714	2.775000	0.914781
566.066546	2.803000	0.998070
568.066391	2.757000	1.001718
570.067717	2.790000	1.066161
572.069093	2.793000	0.945989
574.068827	2.754000	1.073659
576.069896	2.754000	0.996043
578.070614	2.801000	0.895529
580.072060	2.782000	0.928764
582.071564	2.755000	0.910525
584.071265	2.808000	1.081562
586.071995	2.772000	0.955108
588.071812	2.772000	0.816090
590.071438	2.760000	1.029481
592.071410	2.810000	0.980237
594.072781	2.764000	1.059879
596.072163	2.771000	1.080548
598.072596	2.806000	0.906270
600.072498	2.806000	1.071834
602.074035	2.758000	1.000907
604.073314	2.785000	1.130603
606.075132	2.797000	0.974360
608.075767	2.755000	1.008203
610.075190	2.799000	0.991180
612.075814	2.799000	0.983479
614.077091	2.785000	1.027252
616.076297	2.754000	1.103853
618.076842	2.806000	0.900595
620.077924	2.774000	0.948623
622.077522	2.757000	1.023401
624.077319	2.757000	0.972131
626.078069	2.809000	1.154516
628.077367	2.765000	0.996246
630.077242	2.768000	0.853783
632.077382	2.807000	1.111149
634.078707	2.759000	0.799676
636.078743	2.759000	1.253003
638.079597	2.782000	0.932209
640.079563	2.799000	0.947408
642.079547	2.755000	1.045693
644.080184	2.796000	1.029683
646.080711	2.788000	1.016106
648.080370	2.788000	0.962606
650.081455	2.754000	0.929574
652.082925	2.805000	1.003137
654.083443	2.776000	0.876278
656.083765	2.757000	1.179847
658.083767	2.810000	0.950245
660.083148	2.810000	0.953892
662.083551	2.766000	1.145599
664.083310	2.765000	0.899582
666.083378	2.808000	1.127361
668.083351	2.760000	1.026644
670.083353	2.780000	0.989761
672.083745	2.780000	1.251787
674.083201	2.801000	0.832505
676.083425	2.756000	1.103651
678.084040	2.795000	0.990369
680.084054	2.789000	0.856823
682.083739	2.754000	1.117025
684.085091	2.754000	0.921468
686.086096	2.805000	1.091491
