AsGrown (m),Mild (m),Strong (m)
4.36079205425154e-08,8.38166900227375e-09,8.57641834946014e-09
4.10584490275515e-08,7.99269448173179e-09,9.07365530153416e-09
3.82382650422176e-08,7.40177692494151e-09,8.99365767623838e-09
3.48458750494985e-08,7.25608182304573e-09,9.08907182541119e-09
3.20151361031641e-08,6.29211797348820e-09,9.21133757952458e-09
2.84507753371254e-08,6.80713000798054e-09,9.16741869768161e-09
2.86106944816705e-08,6.80698031810452e-09,9.83619763667000e-09
2.91297573368507e-08,6.20048449775214e-09,9.52120962746114e-09
2.81091940147865e-08,5.74012179338011e-09,9.18559290727370e-09
2.19279215163837e-08,5.85211504734949e-09,9.70486403993392e-09
1.90567683453387e-08,6.16296672595166e-09,1.26368984377865e-08
1.82562153745226e-08,6.23820249651178e-09,1.30704598733375e-08
1.82871308355251e-08,6.75756248542214e-09,1.30588819958803e-08
1.82405314293525e-08,7.64824620978361e-09,1.12112133758412e-08
1.83027547450990e-08,7.95386195914868e-09,9.47504120573269e-09
1.82615562792686e-08,8.63297411560915e-09,1.01540796200822e-08
1.84415627871430e-08,8.82930923483789e-09,1.04283176244486e-08
1.86184386275351e-08,8.78245056092972e-09,1.06985480012472e-08
1.86299830073550e-08,9.11711201994975e-09,1.08630300194108e-08
1.75043455744724e-08,8.81810431784002e-09,1.14739787708962e-08
1.50569008646289e-08,9.47385979850828e-09,1.08803719601144e-08
1.03414685022743e-08,9.53510220343931e-09,1.02836429094553e-08
9.72795563353681e-09,8.15545199531623e-09,9.91057195455095e-09
9.41908397473348e-09,5.98076232199817e-09,9.65225080580721e-09
8.99985411423421e-09,6.72898498317909e-09,1.02765313575522e-08
9.12363276962673e-09,7.19200865673930e-09,1.08651461693034e-08
9.23223925107824e-09,6.61104859824666e-09,1.04885978398388e-08
9.54619814779853e-09,6.31895701527192e-09,9.73718756790425e-09
9.77797267996020e-09,5.92220533543035e-09,9.68289480455871e-09
9.73708922688575e-09,5.69987068404845e-09,8.17515440227814e-09
9.60976031272037e-09,5.70091493402332e-09,6.99218123924369e-09
9.41574692979471e-09,5.55333323224071e-09,7.03261108444694e-09
9.51352825715330e-09,5.50208497145383e-09,7.05543587091305e-09
1.09758307025360e-08,5.28426094390052e-09,7.09694036938554e-09
1.33502435882517e-08,5.33192650247532e-09,7.68246100072345e-09
1.46305182708656e-08,6.19603878550327e-09,7.98262765077064e-09
1.52670420701215e-08,6.73430796727751e-09,8.90749293729065e-09
1.62006958569717e-08,5.87328038878460e-09,8.82152998723981e-09
1.73063699109405e-08,6.17836279216444e-09,8.70456535258564e-09
1.78325422875004e-08,6.28782712698012e-09,8.16892470589621e-09
1.76063220238800e-08,6.01739351710945e-09,8.43570702378058e-09
1.67408904421425e-08,5.56446156752386e-09,9.60018055911501e-09
1.59442827880512e-08,5.66135024489637e-09,9.45726856604895e-09
1.54130491250300e-08,5.45459226321096e-09,1.02161086195502e-08
1.48360098751954e-08,5.25263878554158e-09,8.01471580549830e-09
1.46745780778984e-08,4.35379298253031e-09,7.89618686336723e-09
1.42846879585074e-08,3.75783946849745e-09,7.74637734067000e-09
1.39441797553677e-08,6.11521789845886e-09,7.80033656657136e-09
1.36938698965877e-08,6.12282561969733e-09,7.60036009776735e-09
1.34749431252163e-08,5.44760177121776e-09,6.97408899774932e-09
1.33420194170546e-08,5.30476596248777e-09,6.50632850766648e-09
1.32316068626217e-08,5.15251345482891e-09,6.98648414139813e-09
1.29360590464809e-08,4.88710324611157e-09,7.72013055078748e-09
1.18728377593888e-08,5.39719076079633e-09,9.29505619855776e-09
1.19503590309800e-08,5.92162286070319e-09,9.54542855227592e-09
1.21301075379819e-08,5.60064783241694e-09,9.17907915586237e-09
1.23631411192294e-08,5.24433564928931e-09,9.51384963473813e-09
1.25627027305277e-08,5.22084719765927e-09,1.02300270406091e-08
1.27590737455213e-08,6.11668855408735e-09,1.02133829154555e-08
1.29707279346800e-08,6.48320494804643e-09,9.61283848147798e-09
1.31234222778765e-08,6.94562785953215e-09,9.49730354590908e-09
1.32034809114988e-08,7.65460796678968e-09,9.90729080129404e-09
1.33534087143694e-08,8.65954720789657e-09,9.83625934357604e-09
1.34426666405223e-08,8.35731719982598e-09,1.00718211019952e-08
1.36398351295343e-08,8.01194415060397e-09,1.02408113946775e-08
1.39197513789788e-08,8.12183046813380e-09,1.07935192076370e-08
1.42989018650281e-08,7.55116839779241e-09,1.08470593527494e-08
1.49230810813189e-08,7.65148984352557e-09,1.03484496580089e-08
1.55497263903681e-08,7.68086503689946e-09,9.69289528719629e-09
1.61634913683836e-08,7.09607871751927e-09,8.54011054380084e-09
1.68805706583162e-08,7.21302426557473e-09,9.23494829876787e-09
1.74171722364063e-08,7.60243405302258e-09,9.49328170776469e-09
1.81116982322238e-08,7.58858517277878e-09,9.98143982294635e-09
1.86829117680025e-08,7.20237890541696e-09,9.98722741057384e-09
1.91741253125006e-08,6.95262910052444e-09,9.20328160629066e-09
1.95335931780651e-08,6.57723160353903e-09,8.75542670831069e-09
1.97209136694580e-08,6.78174920404077e-09,7.53007845612137e-09
1.99313824040040e-08,6.76252822734191e-09,6.94998550328661e-09
1.95857495810781e-08,6.78737783559695e-09,6.33027742898103e-09
1.82658008914136e-08,6.56563927717249e-09,5.38338112958232e-09
1.65722676789731e-08,6.66555216672708e-09,8.13430854115283e-09
1.62660945785447e-08,6.74803400464117e-09,1.08627707758672e-08
1.63354748097368e-08,7.19035994958555e-09,1.20642949921430e-08
1.66635594033813e-08,7.05527164960695e-09,1.15070424457813e-08
1.66646552826918e-08,7.15375665280485e-09,1.14648495513258e-08
1.68304199577533e-08,6.83134399757275e-09,8.97549158943917e-09
1.74162615746006e-08,6.53574829187854e-09,8.81345536957678e-09
1.78057847621503e-08,6.46704463769838e-09,8.93768646136685e-09
1.80136419030064e-08,6.27928868142627e-09,9.97869436865601e-09
1.81307740499247e-08,6.43846124342737e-09,1.32539443322682e-08
1.85591398084504e-08,6.41864891059115e-09,1.50365860411601e-08
1.80307212829169e-08,6.14761527054253e-09,1.42452119409803e-08
1.73843243662161e-08,8.66054886253693e-09,1.55900069677287e-08
1.82484315815675e-08,8.40028055778065e-09,1.48796425305943e-08
1.86134636784065e-08,7.86510392146924e-09,1.56700422307686e-08
1.87326270112256e-08,7.88213935967829e-09,1.41768733588164e-08
1.87246672150804e-08,7.08066273227200e-09,1.51358105285653e-08
1.85902849646314e-08,7.35883855802973e-09,1.40385880714507e-08
1.84713146793125e-08,6.28791876161707e-09,1.26857689607083e-08
1.82661916682520e-08,6.35022144887734e-09,1.19846548190870e-08
1.84035685644796e-08,6.98075539152350e-09,1.20372997895055e-08
1.86226116027985e-08,6.59988059602321e-09,1.27779177565298e-08
1.87891301595840e-08,5.96399489639431e-09,1.38882301476428e-08
1.89813314763896e-08,6.20269378387900e-09,1.52582811394116e-08
1.90737541045395e-08,6.61119121730552e-09,1.52289732126392e-08
1.91087138574080e-08,6.60062087648374e-09,1.65374021369067e-08
1.90092565574455e-08,6.91560569800935e-09,1.70648217534530e-08
1.88190383321159e-08,6.84062902203769e-09,1.79027857072512e-08
1.86129332701377e-08,6.66488485135751e-09,1.75098566441152e-08
1.85651097603933e-08,7.06358484873045e-09,1.72709658841854e-08
1.83740863621907e-08,6.79557641073140e-09,1.87623653153293e-08
1.82492958024692e-08,6.36010078524871e-09,1.88173362283741e-08
1.80513630129336e-08,6.02898244201828e-09,1.97425976851540e-08
1.80590988406557e-08,6.06619469321286e-09,1.95980512065099e-08
1.85534545648825e-08,6.08432045717402e-09,1.96087725019921e-08
1.86348196737635e-08,6.32150233482841e-09,1.52774151924762e-08
1.86456629507011e-08,6.57732273956677e-09,1.72500520589641e-08
1.85633131900382e-08,7.01748316233682e-09,1.80775162276196e-08
1.84064371808182e-08,6.78171721142556e-09,2.08075856190390e-08
1.80443394839009e-08,6.97545306669697e-09,2.05463324132066e-08
1.78188715079231e-08,7.29048788953184e-09,2.39457712953859e-08
1.73745910811918e-08,7.59522310252986e-09,2.54005297216083e-08
1.74229297292983e-08,8.03832448755854e-09,2.60806231647515e-08
1.77687309238135e-08,7.97486280267369e-09,2.61927059538033e-08
1.75983099178959e-08,7.20778580003569e-09,2.54833371853348e-08
1.73105553395868e-08,6.64817317346403e-09,2.10597968814602e-08
1.71692493108758e-08,6.43346311327764e-09,2.75866837640609e-08
1.73733080694955e-08,6.24723660540548e-09,2.69467761309058e-08
1.70567216318177e-08,5.35482862692923e-09,2.85958142273421e-08
1.42596564175683e-08,5.60049336041055e-09,2.78794480032083e-08
1.29115753992187e-08,5.41057586399903e-09,2.43212554631440e-08
1.25802817961472e-08,5.88920866380082e-09,2.36910255809739e-08
1.26103658767474e-08,6.48549918661006e-09,2.30123726871389e-08
1.27193204572159e-08,6.56302340350983e-09,2.50481835891615e-08
1.28286564689126e-08,6.62813862819038e-09,2.27490376562482e-08
1.28946612369132e-08,7.07715543142084e-09,1.63507617058403e-08
1.27995863882648e-08,7.79578124662818e-09,1.51163648535189e-08
1.28659792718739e-08,8.59126406597916e-09,1.49775578169317e-08
1.29621902456011e-08,9.07676609866469e-09,1.55875459348741e-08
1.30808231105277e-08,9.67883565630486e-09,1.63829195063268e-08
1.34037409111738e-08,7.87983474528019e-09,1.53783324377826e-08
1.36197753435959e-08,8.16025026363653e-09,1.35117831415318e-08
1.39481669999898e-08,8.80710430385688e-09,1.33523276886930e-08
1.45601339717260e-08,8.67530313233703e-09,1.32626187047853e-08
1.52062986551533e-08,8.42281812494099e-09,1.31592531698611e-08
1.58526046966399e-08,7.24152301074721e-09,1.38153591544610e-08
1.65003138918666e-08,6.56896188531729e-09,1.30754569322294e-08
1.73187569044198e-08,6.50395508677836e-09,1.32295832640851e-08
1.81319209229582e-08,6.56375552430714e-09,1.34092549140533e-08
1.89668029778154e-08,6.46912664570644e-09,1.28247326335871e-08
1.99423710236479e-08,6.70027727525419e-09,1.26102401666534e-08
2.00289265366767e-08,6.81016765658153e-09,1.23253374950655e-08
2.00627422877908e-08,7.25781949040324e-09,1.22678797253385e-08
1.99652895438740e-08,7.99346854564796e-09,1.23231482927576e-08
1.99661781576658e-08,7.74560768203021e-09,1.31581260954532e-08
1.99932713673673e-08,8.20826136359816e-09,1.34680001687414e-08
2.00426588195695e-08,7.94396110274299e-09,1.30254751617114e-08
1.99774338450890e-08,7.82529224549618e-09,1.14129029365870e-08
2.00629071271327e-08,7.65345239116283e-09,1.13921722155004e-08
1.97099686435211e-08,7.38414886377831e-09,1.16493137042991e-08
1.96848946788568e-08,7.35326388727806e-09,1.21593033657207e-08
1.94522828131437e-08,7.66894909838667e-09,1.30743019356712e-08
1.94176540036669e-08,7.80520322823898e-09,1.28314800713203e-08
1.94320741122961e-08,7.95300987749824e-09,1.25842731065505e-08
1.94238779807669e-08,7.54020873096121e-09,1.27447510328912e-08
1.90370015504370e-08,8.02033091736204e-09,1.28083799803621e-08
1.87571699653189e-08,5.86562528424591e-09,1.30542059016194e-08
1.70915373990628e-08,7.47555310204804e-09,1.14892867732440e-08
1.77083252456723e-08,6.01598644541360e-09,1.14225485196236e-08
1.76906386626487e-08,5.83006101521615e-09,1.14580696403902e-08
1.76523905484347e-08,9.94903126917988e-09,1.09478030004665e-08
1.75927861571738e-08,9.80983683266391e-09,1.03878479029347e-08
1.75197720095556e-08,1.06614992392987e-08,9.99430584144938e-09
1.74502933743087e-08,1.15085347946498e-08,9.45010370850584e-09
1.72987272975149e-08,1.07921443376650e-08,9.21020421212126e-09
1.70767138108292e-08,1.12399808307415e-08,9.20814224147054e-09
1.67998381334557e-08,1.22048696770250e-08,1.01929313806500e-08
1.66649921453285e-08,9.31766051628379e-09,1.00364138267250e-08
1.66213657703741e-08,8.83219132160327e-09,1.02775284249761e-08
1.67077097289714e-08,8.72558666757999e-09,1.02486638021280e-08
1.66681105587647e-08,8.29743583526355e-09,9.80934796920347e-09
1.67700772275158e-08,8.26729772723911e-09,8.50954469402158e-09
1.68564907967664e-08,9.22162679794848e-09,8.74244267264924e-09
1.71074796389340e-08,8.82644465151400e-09,9.64646019667971e-09
1.74239712398271e-08,8.67652714105713e-09,1.02550151929611e-08
1.78657564605379e-08,8.64855094375309e-09,1.07933045991121e-08
1.85610403139896e-08,8.78813930741548e-09,1.07086242388161e-08
1.91474331200867e-08,1.09171889106654e-08,1.27491837895747e-08
2.02158598542318e-08,1.05702503571909e-08,1.31835065388466e-08
2.15635359321389e-08,9.65069453262671e-09,1.35772560700678e-08
2.25478167015699e-08,9.40501113025334e-09,1.37972540362459e-08
2.24864074837478e-08,9.41433996166553e-09,1.40740025940291e-08
2.13938014268180e-08,8.40823722039502e-09,1.08010015418993e-08
2.11908597908321e-08,7.84951836931206e-09,9.73118084807090e-09
2.13950367203229e-08,7.82468517462004e-09,1.09108713967204e-08
2.20532938565129e-08,8.44620981839436e-09,1.05664070453733e-08
2.26653060194295e-08,8.46608500936442e-09,1.08791219431564e-08
2.32547436589835e-08,8.53178042011683e-09,1.04980133942141e-08
2.37157652880770e-08,7.86583803727553e-09,1.00167980349523e-08
2.36811340655775e-08,8.11846750272626e-09,1.05901162280212e-08
2.35958114225030e-08,8.08093486135587e-09,1.03307200532737e-08
2.31906680387675e-08,8.14868085356571e-09,9.78549454333814e-09
2.01664068580391e-08,8.13807347021250e-09,9.19629400739598e-09
2.04503736820394e-08,7.77641826879237e-09,9.41592029294060e-09
1.97871787470227e-08,7.92661148849345e-09,9.01591418402284e-09
1.93330145880033e-08,7.36140710900510e-09,8.50346854007338e-09
1.93499439216727e-08,7.37233132242613e-09,8.16036701356696e-09
1.95101808203555e-08,7.39128662429126e-09,8.45807680070280e-09
1.97458396716472e-08,6.88805321249909e-09,8.48855637641690e-09
1.98643821181585e-08,5.79969259732738e-09,9.55228732845434e-09
1.99470100027627e-08,7.44163802229989e-09,9.37874941656373e-09
2.00569573047424e-08,8.60804378749269e-09,9.64037821234938e-09
2.00201292967784e-08,8.48941250913955e-09,9.34794323382560e-09
2.00401163027758e-08,9.22179374295162e-09,9.89687467329818e-09
2.01831743705120e-08,8.11984238426019e-09,1.01938126814137e-08
2.00701002326489e-08,5.73282665614881e-09,1.03156485910328e-08
2.02778415532058e-08,9.31264039744394e-09,1.02726206738757e-08
2.06362551706068e-08,8.69246474832831e-09,9.96833969043858e-09
2.11621075059061e-08,8.24060622129095e-09,1.05386320380206e-08
2.18754929561017e-08,8.61906788484579e-09,1.16441602661217e-08
2.25811203439288e-08,7.94391421695946e-09,1.16038555438971e-08
2.32131517504283e-08,7.58538326698243e-09,1.09066199942812e-08
2.39899159133884e-08,7.36198097578074e-09,1.00944469579957e-08
