#lab INRiM MiCb 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
0.000000	3.546000	-5.749787	5.118497
1.000000	3.551000	4.467405	8.550024
2.000000	3.561000	2.183484	7.373589
3.000000	3.545000	-4.997087	6.278470
4.000000	3.544000	-1.365433	8.588855
5.000000	3.548000	3.358439	7.506704
6.000000	3.557000	3.089102	8.318774
7.000000	3.545000	-0.144628	8.369061
8.000000	3.542000	3.641676	8.955950
9.000000	3.545000	3.909502	7.712933
10.000000	3.553000	-4.092738	7.167400
11.000000	3.565000	-6.429764	5.885234
12.000000	3.549000	-2.745689	12.023210
13.000000	3.559000	3.923113	8.023818
14.000000	3.574000	0.328819	9.884046
15.000000	3.591000	-5.030547	8.159799
16.000000	3.544000	1.903070	8.450234
17.000000	3.554000	4.797356	9.364466
18.000000	3.568000	-1.213594	10.914660
19.000000	3.586000	4.354064	6.750098
20.000000	3.541000	-4.599617	11.829390
21.000000	3.550000	3.345490	7.972928
22.000000	3.564000	6.698636	6.830262
23.000000	3.582000	-3.439489	7.314626
24.000000	3.559000	5.495961	6.722625
25.000000	3.575000	-1.692784	10.779120
26.000000	3.592000	5.473517	7.100906
27.000000	3.599000	-1.509968	8.141535
28.000000	3.553000	-2.777646	8.394258
29.000000	3.570000	-5.287251	8.181271
30.000000	3.587000	-1.887397	9.189443
31.000000	3.596000	-3.134747	8.324818
32.000000	3.549000	-2.859486	8.476761
33.000000	3.565000	4.683232	7.253415
34.000000	3.581000	-0.023549	7.323942
35.000000	3.593000	0.319184	8.404553
36.000000	3.575000	6.430616	6.567126
37.000000	3.589000	-4.321035	10.309000
38.000000	3.594000	0.109545	8.128178
39.000000	3.588000	3.129172	7.224271
40.000000	3.568000	1.741046	8.200404
41.000000	3.583000	5.960222	6.606941
42.000000	3.591000	-5.866519	7.241616
43.000000	3.588000	4.999273	8.458433
44.000000	3.562000	5.397298	9.498121
45.000000	3.579000	-0.402539	10.408170
46.000000	3.588000	-6.168082	9.298419
47.000000	3.586000	-0.026158	13.062490
48.000000	3.585000	4.890874	7.614730
49.000000	3.586000	-4.215943	9.034505
50.000000	3.578000	2.453091	8.289134
51.000000	3.559000	10.937460	9.507670
52.000000	3.580000	15.920740	9.506358
53.000000	3.584000	14.057040	8.040715
54.000000	3.578000	28.203900	6.986574
55.000000	3.563000	69.707010	9.425416
56.000000	3.576000	136.187400	8.445530
57.000000	3.582000	218.234200	8.158924
58.000000	3.578000	315.722700	9.014884
59.000000	3.564000	473.644600	11.146550
60.000000	3.578000	704.331000	10.396580
61.000000	3.567000	1001.891000	8.735755
62.000000	3.547000	1478.332000	6.221738
63.000000	3.525000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
64.000000	3.577000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
65.000000	3.567000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
66.000000	3.549000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
67.000000	3.526000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
68.000000	3.575000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
69.000000	3.567000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
70.000000	3.551000	99100000000000003800000000000000000000000000000000.000000	99100000000000003800000000000000000000000000000000.000000
