#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -62
#
#Time	Temp	Current
#s	K	pA	
195.042967	4.249000	-10.983990
196.042506	4.273000	-12.127620
197.042933	4.273000	-11.771950
198.043549	4.273000	-10.938190
199.043833	4.292000	-12.013320
200.044066	4.292000	-11.917460
201.045209	4.308000	-11.074580
202.044397	4.308000	-11.817550
203.045857	4.308000	-12.194910
204.045680	4.331000	-11.113700
205.046244	4.331000	-11.684400
206.046302	4.331000	-12.078780
207.046337	4.350000	-11.290210
208.048215	4.350000	-11.645280
209.047603	4.368000	-12.222070
210.048266	4.368000	-11.478290
211.047629	4.368000	-11.427420
212.048238	4.390000	-12.088510
213.047934	4.390000	-11.661490
214.047695	4.405000	-11.100720
215.047403	4.405000	-12.280430
216.048759	4.405000	-11.701010
217.048313	4.424000	-11.385460
218.049322	4.424000	-11.994060
219.049354	4.424000	-11.564220
220.050097	4.444000	-11.382220
221.049858	4.444000	-12.188830
222.051268	4.461000	-12.022640
223.050838	4.461000	-10.881850
224.050374	4.461000	-11.822210
225.051192	4.478000	-12.104930
226.050509	4.478000	-11.139630
227.051912	4.498000	-12.042100
228.051475	4.498000	-12.058110
229.051533	4.498000	-10.860770
230.053025	4.514000	-11.588540
231.052979	4.514000	-12.135330
232.053068	4.514000	-11.251300
233.053175	4.531000	-11.512940
234.052999	4.531000	-12.274960
235.052793	4.552000	-11.246840
236.054307	4.552000	-11.321620
237.056169	4.552000	-12.003590
238.056067	4.569000	-11.467350
239.055494	4.569000	-11.271170
240.055998	4.585000	-12.084860
241.057015	4.585000	-11.320210
242.056613	4.585000	-11.212390
243.056479	4.605000	-11.866600
244.058239	4.605000	-11.410800
245.057741	4.605000	-10.998180
246.057449	4.620000	-11.909150
247.057558	4.620000	-11.744590
248.057554	4.633000	-11.011150
249.057703	4.633000	-11.691490
250.057319	4.633000	-11.999940
251.058113	4.654000	-11.113080
252.058177	4.654000	-11.498350
253.057482	4.670000	-12.076150
254.059006	4.670000	-10.964740
255.058336	4.670000	-11.338040
256.058582	4.685000	-12.120940
257.058654	4.685000	-11.352430
258.058798	4.685000	-11.553680
259.058608	4.703000	-12.173020
260.058312	4.703000	-11.377560
261.059100	4.719000	-11.270760
262.059188	4.719000	-12.376700
263.058634	4.719000	-11.469570
264.058426	4.735000	-11.150370
265.058573	4.735000	-12.156810
266.060256	4.755000	-11.530170
267.059666	4.755000	-11.065460
268.059358	4.755000	-12.043720
269.060031	4.768000	-11.753710
270.059726	4.768000	-11.080460
271.059401	4.768000	-12.080400
272.059373	4.782000	-11.747220
273.060009	4.782000	-10.971620
274.059636	4.802000	-11.809440
275.059906	4.802000	-11.899020
276.060714	4.802000	-11.227390
277.060781	4.817000	-11.839630
278.061192	4.817000	-12.135930
279.060430	4.830000	-11.302570
280.060381	4.830000	-11.603940
281.062095	4.830000	-12.163690
282.063134	4.850000	-11.282310
283.063239	4.850000	-11.426600
284.062393	4.850000	-12.167950
285.062683	4.866000	-11.174900
286.063724	4.866000	-11.286560
287.064031	4.880000	-12.234020
288.064923	4.880000	-11.642640
289.064842	4.880000	-11.259400
290.064713	4.898000	-12.103910
291.065442	4.898000	-11.562590
292.066034	4.912000	-11.191100
293.065857	4.912000	-11.970150
294.066824	4.912000	-11.893950
295.067747	4.927000	-11.137400
296.067381	4.927000	-12.055070
297.068202	4.927000	-11.944810
298.067898	4.946000	-11.092210
299.067814	4.946000	-11.915230
300.068121	4.960000	-12.038450
301.067687	4.960000	-11.121190
302.068776	4.960000	-11.708100
303.068810	4.972000	-12.068440
304.069114	4.972000	-11.161110
305.070021	4.990000	-11.728370
306.069734	4.990000	-12.180110
307.071137	4.990000	-11.235490
308.071209	5.003000	-11.651760
309.070647	5.003000	-11.945630
310.070858	5.003000	-11.393970
311.071072	5.018000	-11.301960
312.070951	5.018000	-12.111000
313.071463	5.033000	-11.354260
314.072197	5.033000	-11.224750
315.071394	5.033000	-12.060340
316.072325	5.047000	-11.711950
317.072526	5.047000	-11.186040
318.072344	5.060000	-11.937110
319.072662	5.060000	-11.866990
320.072949	5.060000	-11.084500
321.074158	5.075000	-11.795850
322.074904	5.075000	-11.706480
323.074354	5.075000	-11.133750
324.075148	5.089000	-11.671010
325.075223	5.089000	-11.842470
326.075703	5.103000	-11.117740
327.075353	5.103000	-11.504220
328.076209	5.103000	-12.162270
329.075859	5.119000	-11.162940
330.075889	5.119000	-11.511320
331.075790	5.131000	-12.052630
332.076338	5.131000	-11.223940
333.076568	5.131000	-11.323240
334.076566	5.145000	-12.122150
335.078004	5.145000	-11.376140
336.077917	5.145000	-11.304590
337.078155	5.163000	-12.088710
338.077547	5.163000	-11.602510
339.078022	5.173000	-11.231640
340.078269	5.173000	-12.064380
341.079277	5.173000	-11.700600
342.078316	5.185000	-11.228800
343.078890	5.185000	-11.970960
344.079045	5.203000	-11.753500
345.079802	5.203000	-11.040520
346.079316	5.203000	-11.746810
347.079323	5.216000	-11.846120
348.079637	5.216000	-11.256570
349.079843	5.216000	-11.924750
350.080278	5.227000	-12.079780
351.080285	5.227000	-11.322230
352.080134	5.244000	-11.775790
353.081049	5.244000	-12.008450
354.080694	5.244000	-11.246430
355.080695	5.257000	-11.641210
356.081028	5.257000	-12.174840
357.080427	5.268000	-11.642640
358.080583	5.268000	-11.507660
359.080469	5.268000	-12.120720
360.080342	5.285000	-11.497330
361.080363	5.285000	-11.517190
362.081232	5.285000	-12.169770
363.080374	5.296000	-11.599880
364.081216	5.296000	-11.272370
365.080421	5.310000	-12.102280
366.080853	5.310000	-11.709720
367.080631	5.310000	-11.345530
368.080935	5.325000	-11.980480
369.080842	5.325000	-11.818150
370.082094	5.337000	-11.222720
371.081434	5.337000	-11.911570
372.081713	5.337000	-12.036620
373.081539	5.350000	-11.187050
374.083246	5.350000	-11.777210
375.082757	5.350000	-12.099040
376.082643	5.364000	-11.111460
377.083559	5.364000	-11.665950
378.083997	5.376000	-12.028110
379.083953	5.376000	-11.179750
380.083758	5.376000	-11.744180
381.084727	5.386000	-12.113630
382.084693	5.386000	-11.322020
383.085761	5.400000	-11.623380
384.086895	5.400000	-12.123160
385.086343	5.400000	-11.441800
386.086996	5.413000	-11.293250
387.086407	5.413000	-12.056070
388.086806	5.413000	-11.326480
389.086674	5.423000	-11.303790
390.087985	5.423000	-11.968520
391.087349	5.437000	-11.703030
392.089250	5.437000	-11.183610
393.090247	5.437000	-11.828280
394.089401	5.448000	-11.785720
395.089313	5.448000	-11.172860
396.089382	5.461000	-11.719850
397.089358	5.461000	-11.641220
398.089569	5.461000	-11.210760
399.090095	5.475000	-11.658440
400.089414	5.475000	-11.873880
401.090748	5.475000	-11.183400
