Strong
25
6
6
9
4
6
2
14
1
4
6
44
37
19
5
12
22
28
29
13
14
8
3
6
18
1
14
19
11
20
19
34
6
9
23
21
13
9
39
8
1
6
5
34
1
8
59
8
16
27
29
25
9
27
15
10
11
20
5
0
2
23
7
16
6
16
35
19
12
35
14
14
8
48
4
1
2
4
13
5
13
6
21
32
5
19
14
12
7
126
5
3
1
3
3
10
9
7
9
17
45
12
24
14
12
8
88
7
3
3
8
3
4
10
3
4
13
19
29
12
35
16
13
17
36
8
2
1
3
17
2
13
3
14
13
14
14
10
39
9
37
11
11
5
5
4
6
5
10
14
18
24
8
28
10
23
30
4
26
2
12
8
3
5
3
14
12
15
22
5
97
11
42
14
4
14
48
12
9
3
3
4
3
16
20
19
4
32
29
10
47
28
4
2
4
3
8
3
6
3
11
17
15
5
15
17
30
6
14
47
13
8
2
7
8
5
3
22
11
22
3
38
32
9
15
33
11
7
2
2
4
2
60
3
3
61
19
17
3
40
12
9
22
47
36
7
2
1
20
6
11
3
3
12
57
17
3
21
18
34
9
96
12
1
2
22
9
56
4
3
13
30
17
2
39
15
17
11
65
11
2
21
21
31
2
1
3
11
44
22
3
31
8
7
37
10
40
17
2
3
3
4
1
9
3
3
1
4
21
14
23
1
27
5
57
5
50
27
2
2
5
2
4
15
2
5
3
10
13
25
1
20
57
4
41
26
0
5
3
2
29
57
3
13
4
2
28
13
21
15
15
118
4
33
16
0
8
92
9
3
8
4
3
3
6
14
10
9
12
42
10
17
2
1
46
3
10
3
6
3
4
6
15
8
6
11
55
8
20
1
1
93
3
10
3
6
3
3
26
14
67
9
12
32
8
18
2
1
55
3
4
9
3
6
11
54
28
8
19
10
43
2
4
128
1
5
4
20
3
20
8
34
21
2
18
11
9
1
43
1
7
3
4
16
5
7
21
37
15
22
14
14
3
23
1
35
9
6
5
25
5
6
10
50
25
31
11
16
3
4
3
1
11
54
4
4
4
21
6
2
7
9
75
15
28
13
10
3
3
4
1
11
59
19
3
2
7
5
4
7
14
8
29
12
22
21
7
5
2
3
7
3
3
12
0
6
4
7
2
20
7
27
9
36
10
25
5
3
5
5
9
7
1
5
9
5
3
10
12
32
9
19
10
30
5
2
5
3
7
17
8
4
8
16
5
8
9
28
30
8
9
8
47
12
1
6
6
10
15
4
6
18
6
8
8
15
7
10
35
7
2
7
6
11
6
27
45
2
6
34
3
10
8
26
5
5
13
2
1
6
7
16
3
1
4
2
3
13
6
21
6
4
3
10
87
12
8
6
3
0
7
6
57
4
5
22
2
6
20
4
4
4
8
38
30
7
11
24
12
4
5
10
12
5
3
16
11
6
51
7
6
5
8
37
30
10
9
20
17
14
5
6
2
5
8
5
2
4
19
36
31
8
12
10
7
14
10
3
5
2
3
7
3
15
6
2
4
40
29
19
5
13
18
7
12
13
3
3
16
5
11
14
28
3
34
18
12
3
5
4
12
13
14
15
2
2
7
22
6
7
29
28
4
8
16
4
1
17
20
5
13
13
13
1
9
7
17
5
10
35
17
6
9
14
24
19
48
9
10
18
14
10
0
5
15
7
7
65
11
31
5
7
9
21
10
35
21
6
6
24
2
4
7
7
42
24
16
7
9
7
19
11
18
4
16
0
9
7
10
9
34
15
13
7
7
5
4
27
5
10
12
2
5
7
9
13
14
23
5
11
6
8
4
6
8
18
16
31
5
17
5
5
12
2
14
37
5
9
4
11
15
6
18
9
36
4
5
9
3
9
27
4
9
4
8
21
3
53
15
18
21
20
4
8
11
14
