#lab INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -100
#
#Time	Current
0.999811	-354843.700000
1.999625	-353996.500000
2.999665	-353246.600000
3.999730	-355785.200000
5.000616	-354759.700000
6.002428	-356001.400000
7.001859	-351418.300000
8.001971	-351006.400000
9.001773	-353502.800000
10.002493	-345725.600000
11.002790	-345803.800000
12.003391	-372555.100000
13.003314	-370099.500000
14.003223	-368530.100000
15.004079	-368313.000000
16.004238	-406872.200000
17.004282	-404866.900000
18.003788	-406993.800000
19.004483	-406024.000000
20.004215	-405530.600000
21.004890	-406502.100000
22.006533	-406363.500000
23.006554	-405647.100000
24.007526	-407214.300000
25.007197	-405833.400000
26.006643	-405943.100000
27.008278	-406658.000000
28.007728	-407711.200000
29.007588	-406546.900000
30.008410	-405519.900000
31.008635	-406912.300000
32.010008	-403842.600000
33.011252	-404906.800000
34.010808	-404664.500000
35.010645	-405886.600000
36.010755	-407691.700000
37.012279	-407964.400000
38.012360	-408789.900000
39.011619	-408614.700000
40.011906	-409299.000000
41.012347	-410458.700000
42.011674	-411408.200000
43.011950	-412737.900000
44.013447	-411898.800000
45.013482	-401200.100000
46.013918	-388382.900000
47.013783	-388739.100000
48.013889	-390301.700000
49.015330	-391541.400000
50.014643	-389102.000000
51.015367	-390011.000000
52.015135	-388539.200000
53.014910	-388216.100000
54.015162	-388885.500000
55.015649	-391883.000000
56.017128	-389030.900000
57.017163	-388394.400000
58.017399	-389927.100000
59.018486	-388067.800000
60.018606	-389844.200000
61.018804	-392025.600000
62.019056	-390032.600000
63.018843	-387543.700000
64.019352	-388722.400000
65.019238	-388929.200000
66.020322	-389528.900000
67.019581	-393934.600000
68.020092	-394741.700000
69.019596	-394573.100000
70.020184	-394457.900000
71.020275	-394416.800000
72.021471	-394553.300000
73.021260	-395735.400000
74.021957	-392604.800000
75.022099	-392967.200000
76.021874	-393249.000000
77.022209	-394523.200000
78.023265	-395288.900000
79.024327	-403629.300000
80.023834	-403233.700000
81.023704	-395841.300000
82.024126	-398435.100000
83.025033	-397932.400000
84.026302	-395301.800000
85.025606	-391650.600000
86.025748	-390982.600000
87.027323	-393488.900000
88.027503	-397225.400000
89.026963	-395284.100000
90.026979	-394060.400000
91.027347	-393396.900000
92.026783	-394586.300000
93.026756	-397568.700000
94.027139	-396622.000000
95.026963	-396728.700000
96.026866	-396889.800000
97.026987	-395889.300000
98.027060	-391521.600000
99.027187	-391790.900000
100.028507	-390222.200000
101.027827	-390473.300000
102.027692	-390037.500000
103.027957	-390660.600000
104.028572	-394517.300000
105.027810	-394342.200000
106.027878	-393913.500000
107.027953	-394230.900000
108.028121	-393065.800000
109.027788	-388387.100000
110.028100	-392256.300000
111.029498	-390762.200000
112.030035	-388925.700000
113.030058	-386649.800000
114.029821	-388094.800000
115.030905	-389165.100000
116.031183	-390112.100000
117.030744	-387871.600000
118.032221	-387320.900000
119.032178	-387588.400000
120.032248	-386442.100000
121.032011	-386657.900000
122.031692	-386000.000000
123.032342	-386996.400000
124.031620	-386449.100000
125.032924	-386318.800000
126.033404	-386516.400000
127.034276	-388565.700000
128.034519	-391662.000000
129.034251	-389368.800000
130.034606	-388622.300000
131.036456	-389621.900000
132.035983	-387893.500000
133.035888	-386925.100000
134.037337	-389403.100000
135.037558	-388846.700000
136.036720	-388127.500000
137.037656	-387979.800000
138.039537	-391538.700000
139.039082	-391997.000000
140.038834	-392751.700000
141.038674	-394599.700000
142.039219	-392289.600000
143.039479	-397272.800000
144.038671	-397692.400000
145.038823	-397178.200000
146.039162	-397375.900000
147.038617	-376602.800000
148.038792	-368115.700000
149.038652	-367190.100000
150.039009	-390382.300000
151.039202	-393776.000000
152.039033	-392451.900000
153.039979	-393968.000000
154.039952	-393576.200000
155.041410	-389581.200000
156.040918	-394990.900000
157.040836	-391165.300000
158.040722	-389332.000000
159.040596	-393234.100000
160.041109	-391469.700000
161.040643	-392789.500000
162.042311	-394448.000000
163.042926	-393665.400000
164.042759	-377559.800000
165.042876	-378668.800000
166.043394	-372598.200000
167.042618	-375270.600000
168.043306	-377320.500000
169.043944	-377844.500000
170.044157	-376977.800000
171.043739	-376324.300000
172.044040	-374240.800000
173.044581	-376941.200000
174.044884	-374812.700000
175.045084	-376687.600000
176.044799	-376643.000000
177.045151	-376479.300000
178.044800	-377859.800000
179.044756	-379599.600000
180.045063	-378944.300000
181.045331	-378155.200000
182.045389	-380270.200000
183.046531	-380546.900000
184.047118	-377307.700000
185.047245	-379514.100000
186.047125	-379320.400000
187.046749	-380790.100000
188.047340	-379682.300000
189.047909	-379489.900000
190.048057	-379282.600000
191.047669	-379337.500000
192.047668	-380832.300000
193.048423	-372003.300000
194.047918	-369066.300000
195.048557	-368484.400000
196.049272	-366386.500000
197.048662	-365601.900000
198.048723	-367503.000000
199.049055	-364119.400000
200.049555	-368172.800000
201.050005	-368863.200000
202.049862	-368211.400000
203.049647	-369081.200000
204.050447	-367703.200000
205.049986	-366136.600000
206.050097	-366675.500000
207.050612	-365834.000000
208.051094	-369003.800000
209.050967	-369183.300000
210.050753	-368495.100000
211.052507	-415900.000000
212.052452	-412917.500000
213.052669	-410370.100000
214.052924	-412240.800000
215.052956	-401939.600000
216.053343	-402647.100000
217.052712	-406007.200000
218.053027	-408205.800000
219.053577	-475927.900000
220.053028	-476590.300000
221.053428	-476524.400000
222.053391	-474449.000000
223.053673	-475421.700000
224.054593	-474430.800000
225.054884	-474052.900000
226.055591	-473406.600000
227.056220	-473367.100000
228.055702	-448319.900000
229.056108	-449600.200000
230.055971	-450863.400000
231.056509	-450458.800000
232.055986	-389814.100000
233.055680	-388501.800000
234.056060	-341397.000000
235.057364	-342405.100000
236.057209	-344244.600000
237.056621	-343363.400000
238.056679	-343662.800000
239.056806	-344825.100000
240.056918	-359342.500000
241.056932	-359001.700000
242.057963	-358411.800000
243.057752	-362043.800000
244.057823	-359477.800000
245.057744	-362426.200000
246.058136	-357489.500000
247.059446	-358237.000000
248.059068	-362167.500000
249.060274	-360017.900000
250.059809	-357909.000000
251.059941	-362114.100000
252.060236	-360418.600000
253.060290	-362229.400000
254.060113	-362349.500000
255.060008	-365378.100000
256.060961	-366314.500000
257.061312	-364663.600000
258.062513	-364483.200000
259.062215	-364359.700000
260.062897	-366261.000000
261.063474	-365344.900000
262.062649	-362726.200000
263.063140	-361927.700000
264.063287	-363757.300000
265.062743	-362852.800000
266.063590	-362937.900000
267.065460	-363183.300000
268.064780	-360814.700000
269.065250	-360504.800000
270.064755	-360112.900000
271.065646	-358182.400000
272.065995	-364844.800000
273.065662	-359145.600000
274.067534	-362368.400000
275.068436	-361420.000000
276.067928	-357277.000000
277.067678	-358948.300000
278.069510	-357432.600000
279.069254	-360788.000000
280.069522	-361432.900000
281.068792	-363178.400000
282.070552	-361400.300000
283.069888	-363222.300000
284.069973	-361089.600000
285.070298	-362052.300000
286.070606	-355333.100000
287.070607	-349660.200000
288.071466	-351083.900000
289.071101	-353638.000000
290.070613	-354545.800000
291.071126	-354417.800000
292.070908	-357882.200000
293.070898	-352572.400000
294.071619	-356642.400000
295.072355	-353259.500000
296.073400	-353912.600000
297.073482	-354205.300000
298.073001	-361220.300000
299.072696	-357712.100000
300.073124	-358823.700000
301.074522	-356855.400000
302.074346	-359517.200000
303.073783	-369215.000000
304.075040	-363475.500000
305.075358	-359328.900000
306.076575	-360442.600000
307.076371	-357664.600000
308.077467	-357090.700000
309.078428	-361505.000000
310.077940	-358098.400000
311.078238	-362607.500000
312.079360	-359806.000000
313.078766	-359613.800000
314.079460	-363406.200000
315.079481	-363724.100000
316.078604	-368065.600000
317.079535	-364724.700000
