#p 2.6E-7
#d 3.5
#m k6487
2100 2.192 2.158 2.288 2.128 2.239 2.141 2.274 2.306 2.192 2.025
2298 36.70 34.37 39.12 28.92 23.74 26.04 25.11 23.92 25.09 
2500 192.8 162.8 174.2 216.5 175.9 160.8 167.3 190.0 200.0 
2701 742 957 605 942 949 963 824 769 845 
2900 1264 1282 1248 1107 1155 1112 1090 1167 1207 1090
