#p 1.18 -6
# hv [V] i1 i2 i3 ... [nA]
#993 2.406 3.204 3.280 3.522 3.359 3.577 2.178 2.298 2.353
1106 76.06 78.50 114.5 117.17 86.82 100.47 68.36 60.95 85.28 78.73
1299 1736.8 1760.4 1929.5 1891.5 1875.7 1569.7 1781.4 1929.3 1612.8 
1400 4954 4829 4798 5055 4515 4980 4500 4506 4972 
1501 13654 13582 13172 15194 14770 13014 13527 13654 13627
1604 19860 20160 19980 21010 20600 20770 20010 21360 20800 21630:
