#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.7 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
184.800000	2.983000	-5.732648	4.256014
184.900000	2.969000	-5.564534	3.533437
185.000000	2.986000	-5.903013	3.824618
185.100000	3.002000	-6.090474	3.432112
185.200000	3.012000	-5.982106	4.966384
185.300000	3.016000	-6.253444	4.398447
185.400000	3.012000	-6.337271	4.906628
185.500000	3.002000	-6.428635	5.438870
185.600000	2.987000	-6.267517	4.871115
185.700000	2.975000	-6.520139	5.686783
185.800000	2.965000	-6.731861	4.123631
185.900000	2.998000	-6.771059	5.096749
186.000000	3.011000	-6.831505	4.178317
186.100000	3.016000	-7.056237	5.414347
186.200000	3.014000	-7.107408	4.589568
186.300000	3.005000	-7.247046	6.050243
186.400000	3.014000	-7.512867	6.060015
186.500000	3.005000	-7.871080	8.150596
186.600000	3.015000	-8.004752	6.329666
186.700000	3.005000	-8.294305	7.082566
186.800000	2.991000	-8.428477	6.087958
186.900000	2.977000	-8.340670	7.392489
187.000000	2.967000	-8.498440	6.486828
187.100000	2.961000	-8.753177	6.995276
187.200000	2.957000	-8.664116	6.252719
187.300000	2.958000	-8.127483	6.759534
187.400000	2.957000	-8.472761	4.926399
187.500000	3.015000	-8.595173	6.828569
187.600000	3.015000	-9.030519	4.685492
187.700000	3.015000	-9.327153	5.512276
187.800000	3.016000	-9.587640	4.493132
187.900000	3.008000	-9.934885	5.532371
188.000000	2.994000	-9.737040	5.408273
188.100000	2.980000	-9.543131	6.047146
188.200000	2.969000	-9.940027	4.805665
188.300000	2.962000	-10.306180	4.954792
188.400000	2.958000	-9.757925	3.567119
188.500000	2.957000	-10.580700	5.583711
188.600000	2.963000	-11.162360	6.214885
188.700000	2.957000	-11.013380	6.135210
188.800000	2.962000	-10.648700	5.183786
188.900000	3.012000	-11.563510	4.604570
189.000000	3.001000	-11.770650	5.060913
189.100000	2.986000	-11.419170	4.282336
189.200000	3.002000	-11.237210	5.534971
189.300000	2.987000	-11.812970	5.195169
189.400000	2.975000	-12.425220	5.799123
189.500000	2.965000	-12.521680	3.797537
189.600000	2.959000	-12.607750	3.700320
189.700000	2.956000	-12.682430	3.590517
189.800000	2.960000	-13.130600	4.039467
189.900000	2.971000	-13.229330	4.121571
190.000000	2.990000	-13.317100	3.583569
190.100000	2.972000	-13.551720	4.814033
190.200000	2.990000	-13.994280	4.082456
190.300000	3.006000	-14.417010	5.123798
190.400000	2.975000	-14.358570	3.812155
190.500000	2.965000	-14.875180	3.460980
190.600000	2.959000	-14.835230	4.157347
190.700000	2.965000	-14.896540	3.208370
190.800000	2.959000	-15.195500	3.711516
190.900000	2.957000	-15.709170	3.698917
191.000000	2.960000	-16.015730	4.158139
191.100000	2.957000	-16.130210	3.134499
191.200000	2.960000	-16.640690	3.758220
191.300000	2.971000	-16.616950	4.425161
191.400000	2.989000	-16.528360	3.380593
191.500000	3.005000	-17.301540	4.347227
191.600000	3.014000	-17.825110	3.320218
191.700000	3.016000	-17.756230	3.024604
191.800000	3.009000	-17.712830	3.663478
191.900000	2.997000	-18.198990	3.766134
192.000000	2.959000	-18.648360	4.766488
192.100000	2.971000	-19.209600	3.425263
192.200000	2.960000	-19.316330	3.807363
192.300000	2.971000	-19.332010	4.256462
192.400000	2.989000	-19.629970	3.155740
192.500000	3.005000	-20.142810	3.223171
192.600000	3.014000	-20.450480	3.521386
192.700000	3.005000	-20.599390	2.389865
192.800000	3.014000	-21.117650	3.051731
192.900000	3.016000	-21.097090	4.244065
193.000000	3.010000	-21.959010	5.103189
193.100000	2.998000	-22.539630	5.951796
193.200000	2.984000	-22.297960	5.311173
193.300000	2.969000	-22.077740	4.820245
193.400000	2.987000	-23.060120	5.183016
193.500000	3.004000	-23.801020	4.091389
193.600000	3.013000	-24.001140	3.611755
193.700000	3.016000	-24.155150	3.140594
193.800000	3.011000	-24.161470	2.915289
193.900000	2.999000	-24.563590	2.874390
194.000000	2.984000	-25.537150	4.066663
194.100000	2.972000	-25.979810	3.548830
194.200000	2.963000	-25.666980	5.749074
194.300000	2.959000	-25.921310	6.122041
194.400000	3.013000	-26.082290	6.007940
194.500000	3.016000	-26.324480	6.049097
194.600000	3.012000	-27.812240	5.667208
194.700000	3.000000	-26.906700	6.076973
194.800000	2.986000	-26.554020	4.577956
194.900000	2.973000	-26.332000	4.556537
195.000000	2.987000	-27.265500	4.139934
195.000000	2.974000	-26.552760	4.390674
194.900000	2.965000	-26.365760	3.134484
194.800000	2.975000	-26.418270	3.929034
194.700000	2.965000	-25.941750	3.789256
194.600000	2.959000	-25.515670	3.023912
194.500000	2.957000	-25.357130	3.860800
194.400000	2.959000	-24.581360	4.366431
194.300000	3.014000	-24.260300	4.324030
194.200000	3.003000	-24.135710	3.820832
194.100000	2.989000	-23.608560	3.734801
194.000000	2.976000	-23.288940	3.810690
193.900000	2.966000	-23.158530	4.458454
193.800000	2.960000	-22.444790	4.414237
193.700000	2.957000	-21.824080	4.000596
193.600000	2.959000	-21.791090	4.741071
193.500000	2.969000	-21.570840	2.513814
193.400000	2.986000	-21.216830	3.122136
193.300000	3.003000	-20.960330	4.187842
193.200000	2.979000	-20.637980	4.044922
193.100000	2.968000	-19.965950	4.657042
193.000000	2.961000	-19.775680	3.646188
192.900000	2.958000	-19.677080	3.724470
192.800000	2.958000	-19.425020	4.191772
192.700000	2.966000	-19.026620	4.121085
192.600000	2.983000	-18.367640	5.061309
192.500000	3.000000	-18.347520	4.432938
192.400000	3.011000	-18.106510	4.904060
192.300000	3.016000	-17.864560	5.626544
192.200000	2.962000	-17.344200	5.674623
192.100000	2.958000	-17.276780	6.896747
192.000000	2.958000	-16.755770	4.890988
191.900000	2.964000	-16.396460	5.632964
191.800000	2.980000	-16.356200	4.292594
191.700000	2.964000	-16.414330	3.190800
191.600000	2.978000	-15.863570	3.698993
191.500000	2.996000	-15.400400	3.037732
191.400000	3.009000	-15.265240	4.086361
191.300000	3.016000	-15.093600	4.808248
191.200000	3.014000	-14.648070	5.016639
191.100000	2.958000	-14.517990	4.703435
191.000000	2.957000	-14.552550	3.808785
190.900000	2.961000	-14.079140	4.630969
190.800000	2.974000	-13.822850	3.442240
190.700000	2.993000	-13.829130	4.530825
190.600000	3.007000	-13.431720	3.427196
190.500000	3.015000	-12.979580	3.583238
190.400000	3.015000	-13.223130	3.121547
190.300000	3.008000	-13.074880	2.721393
190.200000	2.995000	-12.198290	3.566367
190.100000	3.009000	-12.192500	4.099199
190.000000	2.996000	-12.455770	4.297700
189.900000	2.960000	-11.721510	3.004634
189.800000	2.970000	-11.464360	2.883157
189.700000	2.987000	-12.019010	3.288976
189.600000	3.004000	-11.450670	3.120069
189.500000	3.013000	-11.077580	4.624488
189.400000	3.016000	-10.677560	4.303584
189.300000	3.011000	-10.889120	4.655583
