# sound at L = 37.20 mm. this corresponds to d = 2 mm
# so in order to se d = 4, set to L = 35.20 mm
#d 4
#p 3E-6
1903 22.74 18.31 18.16 18.76 19.72 16.76 16.99 20.12
2097 120.34 149.68 156.87 149.71 145.03 153.63 162.93 175.12
2299 639.8 657.5 648.4 520.6 580.1 635.4 538.8 586.6 581.2 643.7 
2498 1814 1674 1628 1647 1661 1777 1779 1998 1783 1859
2702 3589 5182 4741 4854 5812 5824 5936 5755 4407 3900
#2900 6693 5417 5319 5468 5293 5776 5671 5388 5043 5541
