#lab INRiM MiCb 30 mK 
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -40
#
#Time	Temp	Current
# s	K	pA	
0.000000	0.070974	23.213940
0.999464	0.070974	-3.671695
1.999859	0.071054	59.866850
2.999319	0.071054	2.255492
3.999743	0.070992	-36.070740
5.000171	0.070992	24.046620
5.999600	0.070983	40.494140
7.000998	0.070983	-7.298408
8.000455	0.070983	-11.989930
9.000883	0.071017	65.776470
10.000312	0.071017	44.337350
11.000710	0.071037	-55.524480
12.001168	0.071037	85.082530
13.000595	0.071037	106.280500
14.002028	0.071014	-107.764600
15.001421	0.071014	-51.085490
16.001878	0.071002	103.954700
17.001307	0.071002	82.454570
18.001735	0.071033	-36.475680
19.003133	0.071033	10.226240
20.002584	0.071033	86.049970
21.003019	0.071038	-3.751749
22.002436	0.071038	-24.993000
23.002876	0.071044	16.919700
24.002303	0.071044	26.125580
25.002731	0.071044	6.188277
26.004158	0.071024	-17.577440
27.003582	0.071024	38.343830
28.004015	0.070973	40.936300
29.003443	0.070973	-24.208080
30.003871	0.071088	42.252490
31.003271	0.071088	105.319100
32.003728	0.071088	105.895700
33.005155	0.071038	-16.823530
34.004582	0.071038	69.468490
35.005004	0.071029	105.570600
36.004438	0.071029	-81.518030
37.004867	0.071029	-143.758100
38.004297	0.071071	-151.251700
39.004724	0.071071	121.339500
40.005152	0.070990	-81.880420
41.004711	0.070990	-183.558300
