#lab INRiM
#hv keithley6487
#s CNTArO2Etching_AsGrown_N1new_b
#t variable
#d 1.0
#V -350
#
#Time	Temp	Current
# s	K	pA	
585.051586	81.589000	-66.913080
588.051500	81.582000	-71.696670
591.052638	81.568000	-68.130200
594.053133	81.561000	-69.188220
597.053661	81.554000	-71.894680
600.053446	81.546000	-70.158260
603.053116	81.540000	-73.668980
606.054826	81.532000	-63.623200
609.055634	81.525000	-67.327530
612.055336	81.510000	-65.605700
615.056766	81.504000	-62.042860
618.056366	81.498000	-68.299560
621.056266	81.490000	-68.444280
624.057991	81.483000	-66.060090
627.057191	81.477000	-72.293070
630.057965	81.464000	-72.230830
633.057526	81.456000	-68.538290
636.059045	81.448000	-59.560500
639.058630	81.443000	-71.411570
642.058475	81.437000	-70.232330
645.058648	81.427000	-73.340290
648.058078	81.421000	-65.929680
651.059864	81.408000	-71.741090
654.059198	81.399000	-73.100900
657.060626	81.393000	-65.452760
660.061203	81.385000	-66.142900
663.062709	81.380000	-70.111490
666.062441	81.372000	-72.868420
669.062910	81.359000	-74.022710
672.062254	81.351000	-71.593910
675.063375	81.342000	-73.989840
678.063131	81.337000	-71.795390
681.063357	81.330000	-80.027870
684.063999	81.322000	-74.412440
687.063166	81.317000	-75.953830
690.063598	81.302000	-76.339570
693.063912	81.295000	-72.537170
696.063970	81.287000	-77.269460
699.063989	81.280000	-77.200750
702.064118	81.275000	-78.671000
705.064278	81.267000	-75.954200
708.064460	81.253000	-78.789380
711.064504	81.246000	-79.844760
714.064610	81.239000	-75.859130
717.064365	81.232000	-76.914900
720.064247	81.225000	-77.630580
723.066027	81.218000	-78.570840
726.066717	81.209000	-75.389470
729.067106	81.196000	-71.647280
732.067625	81.188000	-78.059230
735.068624	81.181000	-74.256640
738.068245	81.174000	-73.918970
741.070012	81.168000	-73.885310
744.069375	81.162000	-75.995050
747.069791	81.147000	-73.821030
750.069348	81.141000	-74.770820
753.070623	81.133000	-74.660150
756.070083	81.125000	-77.703660
759.071934	81.120000	-75.169910
762.071808	81.113000	-67.456080
765.071218	81.104000	-66.756440
768.071458	81.091000	-74.381840
771.071486	81.084000	-73.641610
774.072708	81.078000	-72.646210
777.072928	81.069000	-73.146420
780.073631	81.063000	-75.673310
783.073543	81.055000	-74.171590
786.073288	81.041000	-70.672020
789.073793	81.035000	-75.769790
792.073745	81.027000	-67.413230
795.075004	81.021000	-70.501580
798.074653	81.014000	-74.193260
801.075049	81.005000	-76.520470
804.074378	80.999000	-76.278460
807.074768	80.985000	-76.111260
810.075771	80.979000	-80.813920
813.076389	80.972000	-75.614250
816.077041	80.963000	-77.084510
819.076306	80.957000	-79.173780
822.076716	80.951000	-78.859200
825.076717	80.936000	-73.897080
828.077314	80.929000	-75.227700
831.077939	80.921000	-86.227180
834.077847	80.915000	-85.557530
837.077608	80.907000	-76.999730
840.077543	80.899000	-71.045450
843.077127	80.894000	-71.558220
846.078678	80.878000	-71.596340
849.078374	80.872000	-70.455840
852.080088	80.865000	-70.161340
855.080873	80.858000	-71.771840
858.080191	80.851000	-69.667580
861.080645	80.845000	-72.556030
864.080266	80.829000	-69.833740
867.082027	80.823000	-73.638350
870.081750	80.816000	-68.443940
873.081931	80.810000	-70.046170
876.081359	80.801000	-69.898610
879.081650	80.795000	-65.762200
882.082042	80.788000	-71.797350
885.082062	80.773000	-68.755450
888.081228	80.767000	-67.795540
891.081699	80.761000	-69.862920
894.083057	80.751000	-65.759360
897.082206	80.745000	-63.478330
900.082498	80.738000	-68.108640
903.082497	80.723000	-68.165200
906.082379	80.717000	-65.648470
909.082478	80.710000	-63.734500
912.082809	80.702000	-68.332010
915.084044	80.695000	-62.576960
918.083765	80.688000	-63.104120
921.083181	80.681000	-61.707630
924.083827	80.667000	-63.586710
927.083137	80.660000	-58.196310
930.083175	80.653000	-59.149960
